DRUG	CAS-DAC-4	CAS-DAC-19	CAS-DAC-22	CAS-DAC-24	CAS-DAC-1	CAS-DAC-2	CAS-DAC-6	CAS-DAC-13	CAS-DAC-7	CAS-DAC-11	CAS-DAC-12	CAS-DAC-16	CAS-DAC-18	CAS-DAC-3	CAS-DAC-9	CAS-DAC-23	CAS-DAC-25	CAS-DAC-27	CAS-DAC-28	CAS-DAC-31	CAS-DAC-32	CAS-DAC-36	CAS-DAC-21	CAS-DAC-5	CAS-DAC-14	CAS-DAC-42	CAS-DAC-29	CAS-DAC-37	CAS-DAC-39	CAS-DAC-26	CAS-DAC-8	CAS-IPMN-1	CAS-DAC-15	CAS-DAC-20	CAS-DAC-30	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-38
S1233	0.829019567	0.688333335	0.905248852	0.886049302	0.699131776	0.921335032	0.58171634	0.9348572	0.810196736	0.82302693	0.831169699	0.894883645	0.819361312	0.837486406	0.70169336	0.933720268	0.819418011	0.869835988	0.843740198	0.941956191	0.847120018	1	0.94317034	0.807987301	0.866821385	0.924063742	0.783701889	0.93490743	0.95158655	0.865501585	0.826343144	0.966179312	0.803014431	0.76829978	0.900121865	0.83348533	0.892184453	0.875170054	0.741781388
S7680	0.903326631	0.964450442	0.962910144	0.966599266	0.95751708	0.975832124	0.957486688	0.989684922	0.971508497	0.976613263	0.993464522	0.959707319	0.987342115	0.9770053	0.89071211	0.967242681	0.962355049	0.927374418	0.97526477	0.952979181	0.963200077	0.970057702	1	0.929549172	0.983670103	0.957754079	0.928587415	0.974445388	0.953099742	0.976376907	0.975526773	0.969056381	0.886448392	0.908018411	0.972003772	0.961954315	0.980010676	0.973924924	0.888904542
S2244	0.760775699	0.80188033	0.914853674	0.727619883	0.721283859	0.847906706	0.778601327	0.911089048	0.817290655	0.83827652	0.76949615	0.668636822	0.717809102	0.792194541	0.807379683	1	0.837177946	0.684251567	0.754791742	0.821795533	0.750118679	0.873902305	0.865217078	0.828045299	0.729841705	0.842341005	0.734976699	0.791171011	0.819469366	0.867433062	0.819939353	0.805138306	0.744368442	0.755797475	0.781327589	0.837840498	0.762146961	0.719092832	0.687318266
S1826	0.986427729	0.917959682	0.972239474	0.953264555	0.954258924	0.99637756	0.955770827	1	0.893284033	0.977819788	0.960967578	0.860416858	0.964420139	0.978612401	0.977322886	0.995048531	0.96956219	0.974151433	0.979097097	0.968427633	0.816700897	0.975639246	0.985280412	0.984389751	0.963889789	0.949156444	0.890939284	0.879451027	0.911997046	0.990059342	0.97280659	0.939404259	0.779778581	0.95517344	0.979683807	0.971669292	0.987798562	0.997848374	0.961729527
S7575	0.835343583	0.905563653	0.997935953	0.855036897	0.888653367	1	0.998014094	0.998599884	0.931430804	0.995471725	0.962550796	0.89468554	0.982480688	0.991242669	0.845955335	1	0.996765403	0.892762421	0.99126065	0.975472352	0.963960183	0.996671624	0.998475884	0.998987115	0.946877231	0.994885588	0.888287392	0.904474909	0.862993928	0.984768271	0.990982578	0.820502087	0.756528325	0.902993641	1	0.988262299	0.996821446	0.9728113	0.9858281
S1030	0.780959445	0.887137373	0.993508922	0.782032736	0.758336819	0.927597734	0.88333615	0.976330035	0.882174736	0.905900574	0.903564796	0.729169618	0.864757905	0.81361241	0.737385132	1	0.937353871	0.735954902	0.845818887	0.880204084	0.822265953	0.949273416	0.902035702	0.947489387	0.778004833	0.928002976	0.828092092	0.915019389	0.877379795	0.94949394	0.89694906	0.825780059	0.805730084	0.756843472	0.92490691	0.906171725	0.876658078	0.878266659	0.790105533
S1096	0.713132621	0.85166215	1	0.734196839	0.671408541	0.878626206	0.880980843	0.933925152	0.824819826	0.902100468	0.807805586	0.655933402	0.796646181	0.801400469	0.776098517	0.917367632	0.797245293	0.671600881	0.741178944	0.844111557	0.700118699	0.938769963	0.840146559	0.923513469	0.695234077	0.946096509	0.685533557	0.89020487	0.848659574	0.894188232	0.837564079	0.845274596	0.852191735	0.73573776	0.911316541	0.853785047	0.812434887	0.841922251	0.685997549
S2759	0.866969357	0.811864727	0.958694205	0.836244222	0.663283626	0.908214006	0.729867029	0.935895117	0.829496314	0.860923391	0.81779926	0.70634579	0.82122843	0.774976918	0.727495146	0.958795002	0.861610491	0.846567629	0.701426027	0.92140671	0.718795498	0.905263718	0.9622513	0.935934309	0.684279493	0.89438194	0.800899232	0.899488268	0.907273331	0.877011342	0.850031734	0.929489174	0.871101391	0.72034039	1	0.827848718	0.871063627	0.831070625	0.602703462
S7041	0.926116565	0.980431754	0.950285168	0.991900142	0.885481715	0.959723823	0.861598765	1	0.96509715	0.991025892	0.95088677	0.951080944	0.988033179	0.968633961	0.906407266	0.911895186	0.99591726	0.913573745	0.986746664	0.954232891	0.95543135	0.993014485	0.974882687	0.962855981	0.922579875	1	0.933686129	0.985243476	0.887113755	0.898558968	0.954525783	0.99283801	0.929143846	0.938858958	1	0.993305574	0.984949488	0.952201432	0.904088448
S1129	0.9829587	1	1	0.99778893	1	0.980923443	0.995275659	1	1	1	0.970888335	1	1	0.950784926	0.913705598	0.990370418	1	0.959174242	1	0.97501758	0.997193438	1	1	0.970203653	0.998092893	1	0.93950259	1	0.996515329	1	0.993619331	0.999825765	0.993600422	1	1	1	1	0.987195995	1
