anno	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
Class1	4.37178	3.07907	3.4644	8.23844	6.42638	8.92506	5.02568	1.66734	4.696	2.13176	1.85879	1.62212	4.4546	4.44791	3.90961	2.2393	4.05432	2.47725	2.98636	3.00558	4.56582	6.26249	5.98359	3.20949	3.88001	2.48135	3.61927	3.62152	3.20701	3.01096	2.65228	3.70517	5.82703	4.30619	3.69707	3.76107	2.12237	4.12483	2.30913	11.5217
Class1	3.17441	4.90171	10.2315	21.044	13.6749	2.34321	17.8231	0.220773	4.3755	3.9895	0.421229	0.663005	2.92062	7.45654	2.05184	2.15906	1.05718	5.67029	0.754567	6.24025	1.54282	0.798521	1.50924	1.22568	1.46875	2.31016	1.44398	12.2005	7.39553	2.55265	3.47655	3.04928	5.74214	3.57275	2.54222	13.5801	0.23894	1.58474	1.80332	11.3589
Class1	1.34552	0.867414	1.71629	1.49855	1.08718	0.9811	0.469698	0.45993	0.4618	1.66501	0.340835	0.224115	0.414798	0.108769	0.436416	0.329847	0.252271	0.769359	0.204543	0.106007	0.797695	0.311107	0.817435	1.40026	0.31592	0.798529	0.593758	0.957743	0.271374	0.287744	1.86299	0.210484	0	0.756977	1.50155	0.541095	0.84996	0.255919	0	0.402437
Class1	5.41737	9.14439	6.70101	6.45521	8.73504	11.9376	5.78517	2.68781	4.55067	4.50479	3.15642	2.56796	4.34461	4.45261	2.78705	8.08622	3.32968	4.10738	4.89431	7.55355	4.55412	5.28902	5.90966	9.09443	8.81194	2.53008	7.17815	4.75081	2.41118	2.52632	1.78753	4.92715	7.15672	3.45404	7.13771	6.2981	6.48946	6.33105	1.77691	3.50098
Class1	2.35242	1.62415	2.9069	3.54947	3.42352	2.47381	3.54012	0.823028	1.29103	1.4847	1.08697	2.2324	2.63406	2.31016	2.32561	3.19133	3.60358	1.51072	1.68868	1.59264	2.15614	1.54126	1.66921	1.70903	1.78193	2.43461	1.61227	2.03025	1.33792	1.03517	1.92507	1.62831	0.975973	1.75328	2.06566	1.39263	1.32318	1.89862	1.61945	2.48142
Class1	65.1919	107.842	71.1059	115.633	44.559	87.1886	66.9556	29.0042	57.0285	57.429	19.2726	24.1539	70.8749	44.352	68.4386	30.8755	70.0261	52.8591	36.0257	36.0854	63.8253	31.3885	52.3847	44.4784	40.3341	47.3017	31.3895	36.7243	72.2873	63.7899	41.813	37.2379	23.6208	49.0497	32.9469	55.3971	7.67772	37.4591	50.017	95.3008
Class1	4.79592	3.85802	4.65402	6.32999	3.90549	5.27314	6.5868	1.53433	2.99335	1.76222	1.60066	1.9603	3.93674	3.89442	1.38411	2.34273	2.58297	2.98026	5.85314	4.7122	1.355	1.86611	1.0047	2.07604	3.02639	2.21447	5.29398	4.18798	2.27988	2.81674	2.91767	3.46045	3.52661	1.18329	3.15113	3.36358	1.64452	3.39172	4.02882	4.37439
Class1	3.96746	3.51071	5.03631	6.6847	3.67054	5.38493	4.34319	6.68002	1.45362	0.55465	3.139	5.20712	1.30826	1.03179	1.19164	3.06043	2.34575	0.708478	2.16291	3.32768	1.14479	0.885887	2.10133	2.7121	1.09958	1.44289	0.807534	2.43531	0.300581	4.95169	0.829672	3.37473	0.662894	2.57105	3.88685	2.11645	4.64309	3.8177	4.8545	2.85504
Class1	12.2771	6.89639	13.3909	5.80846	9.78438	12.8534	7.161	4.21634	7.5611	6.94877	5.83846	5.8424	8.12389	5.33935	8.13909	3.90711	6.06968	6.27941	3.30373	5.58369	9.65725	11.2908	14.4769	8.45002	3.04015	9.07383	4.4278	7.9256	6.85652	5.24152	8.33842	4.09878	1.89185	6.2083	6.90707	6.93191	4.88848	4.46652	5.47052	4.95267
Class1	70.4067	62.185	114.789	168.703	89.6558	140.484	88.0199	1.35093	22.8687	36.9194	2.86519	2.51333	53.843	33.2957	35.3067	14.5508	64.802	44.0196	17.3703	9.63987	36.2019	33.7976	12.7558	31.6318	0.663862	36.5065	16.7221	98.9984	68.8881	6.57455	21.2518	4.58735	15.579	18.7619	27.9172	69.2366	0.124659	18.1555	50.3799	120.475
