TF	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
SIN3A (521g)	0.575022176	0.565047648	0.581318497	0.561224168	0.512272654	0.52583592	0.570723981	0.655917131	0.582405152	0.601329257	0.649920476	0.658171997	0.605831746	0.555257694	0.592419922	0.606733155	0.591392154	0.586930443	0.568399363	0.582123193	0.588110995	0.577674628	0.587924811	0.588166528	0.608389362	0.573082804	0.582864978	0.488785966	0.569972538	0.591608251	0.562034364	0.587348687	0.582685501	0.588132189	0.56975577	0.577587975	0.620943103	0.572729215	0.579996966	0.573589981
HOXB4 (23g)	0.197417228	0.210208641	0.170678605	0.147703041	0.201753705	0.217695933	0.153258032	0.540040737	0.206305214	0.206021491	0.582826117	0.551727124	0.244715292	0.240501263	0.243547549	0.253274757	0.222895524	0.203264901	0.250240418	0.218654617	0.230929356	0.18733462	0.182798043	0.175761721	0.179438169	0.175430213	0.274464361	0.181492919	0.199567547	0.222928376	0.168220671	0.148652765	0.251369335	0.242320075	0.220121015	0.152424784	0.396262028	0.212559059	0.240856663	0.218705388
HOXB7 (15g)	0.458000275	0.542736804	0.432916724	0.224058051	0.423760472	0.583074669	0.250437211	0.631712677	0.466991714	0.516948221	0.679879137	0.679183262	0.532092661	0.537545209	0.558064368	0.517177128	0.592244655	0.507563064	0.531767614	0.37413359	0.557826306	0.489662592	0.524337316	0.316714737	0.478936044	0.451023211	0.545685117	0.460289338	0.461204963	0.488257108	0.413102596	0.31472783	0.499299547	0.575969418	0.461122556	0.284036076	0.604010438	0.429437348	0.441628897	0.549127867
HOXA13 (25g)	0.231984612	0.259215498	0.224389641	0.322140551	0.248097822	0.249848183	0.20855396	0.246616748	0.26561242	0.488713334	0.248927664	0.239953287	0.283536443	0.462128186	0.291463901	0.218660438	0.424304458	0.48166243	0.263864807	0.242931923	0.264345676	0.244924092	0.227992031	0.246888782	0.28057979	0.271668613	0.30585148	0.242486776	0.280571546	0.263573539	0.240566051	0.240170365	0.308802638	0.260289895	0.258451604	0.260814728	0.245663255	0.254720066	0.293686886	0.319980765
TCF3 (19g)	0.475657895	0.391808849	0.476604974	0.429334153	0.475365095	0.429225709	0.517976431	0.584561163	0.478235252	0.496406883	0.556018652	0.578947368	0.494610324	0.483227299	0.487460237	0.416017206	0.482146472	0.468627097	0.42910642	0.446873193	0.482504338	0.504814922	0.478791932	0.510226287	0.52713635	0.460714286	0.432254916	0.464556825	0.493518652	0.420322441	0.416573887	0.462434933	0.452548438	0.473152834	0.446779208	0.470973106	0.461910787	0.451138664	0.418366831	0.441591961
HOXA11 (24g)	0.30693228	0.312281756	0.271251932	0.202827867	0.254971664	0.366583662	0.170012594	0.316477761	0.283914363	0.389052035	0.329180262	0.324557788	0.329649665	0.439023413	0.276014655	0.228061137	0.393677371	0.404296182	0.274729521	0.220630832	0.275276204	0.265762207	0.258374835	0.215069552	0.304794207	0.28019921	0.291298872	0.258154445	0.316311752	0.34221478	0.268309577	0.2167096	0.293708856	0.291370428	0.327196749	0.19586124	0.365232698	0.292738565	0.250420745	0.366766844
ATF1 (21g)	0.646957045	0.647562136	0.65910139	0.587959011	0.659493882	0.662898747	0.64860551	0.679926342	0.638446518	0.676783139	0.678062007	0.69045166	0.635594412	0.686628137	0.670244882	0.607492011	0.63357308	0.674559019	0.581859037	0.619060702	0.658617317	0.638175045	0.661400737	0.650371722	0.613899437	0.648631676	0.629265485	0.624028992	0.601185979	0.597889049	0.605186123	0.619145742	0.567006499	0.637805448	0.600051024	0.661678752	0.687158001	0.592619849	0.615299324	0.632752119
NFIC (26g)	0.584013486	0.495337795	0.555099625	0.530077761	0.534302677	0.531916749	0.615577498	0.626360415	0.592513522	0.590640185	0.615347624	0.608866248	0.578390833	0.595050057	0.567243288	0.497520272	0.582634245	0.578591642	0.495839818	0.546826821	0.558571508	0.513460812	0.531702729	0.585144358	0.593633825	0.517257688	0.491247632	0.488153587	0.563803112	0.509106426	0.526529253	0.595681549	0.591702359	0.614856171	0.537851185	0.583241956	0.568392656	0.553516933	0.52536139	0.531898253
HOXC10 (74g)	0.323131285	0.382816706	0.338654739	0.247342164	0.267157025	0.32309595	0.26371739	0.336321665	0.299893528	0.361324338	0.355189905	0.349146601	0.356687945	0.370559929	0.337656046	0.30406312	0.346571757	0.359130746	0.2893031	0.24461203	0.350124837	0.35696784	0.355003929	0.272885099	0.313825024	0.286134991	0.25882156	0.267805152	0.311550532	0.329378234	0.276320084	0.257966998	0.301994132	0.329084391	0.324142067	0.26158424	0.374329671	0.335839986	0.292981714	0.352374222
HOXC9 (26g)	0.320279864	0.364220055	0.276823201	0.166740209	0.212305367	0.319756704	0.182538068	0.327345172	0.270291622	0.302761917	0.357939488	0.348541096	0.35504361	0.338849417	0.344221059	0.26123672	0.328362429	0.303028782	0.24779044	0.195527243	0.345663714	0.356922231	0.341626395	0.208482069	0.263004368	0.227582708	0.228729434	0.220292811	0.269451395	0.302140994	0.208645886	0.168280625	0.251323094	0.330920102	0.284411669	0.185304477	0.378654527	0.287521567	0.21005155	0.318245352
BACH1 (28g)	0.313212482	0.36625576	0.292189501	0.403004264	0.355896397	0.38312469	0.390169155	0.352107942	0.457134515	0.592893212	0.345505136	0.337788367	0.403055791	0.503336981	0.572041987	0.416688341	0.596357783	0.636259244	0.355187288	0.393955157	0.452570702	0.399201087	0.408920045	0.335977564	0.328268156	0.344072197	0.330449462	0.406949754	0.353123758	0.359586705	0.353904023	0.342401252	0.346832567	0.626282652	0.320502314	0.458496297	0.37387929	0.414691059	0.642395854	0.361858797
HOXA2 (32g)	0.329139039	0.32966082	0.276381111	0.270944275	0.322136857	0.372071151	0.313955835	0.459204401	0.435092933	0.440121792	0.470166111	0.451950991	0.390649157	0.453305906	0.458878019	0.457117274	0.437160735	0.439286512	0.416164926	0.398538152	0.459187223	0.453179218	0.423504226	0.302319889	0.342295238	0.296621088	0.379343886	0.339254733	0.385781341	0.439286512	0.337077421	0.369541691	0.464963325	0.502900934	0.37614019	0.39630716	0.54348825	0.42299318	0.494350586	0.409570722
SP1 (276g)	0.658820003	0.633451031	0.686263995	0.592855454	0.710637007	0.6503964	0.633945119	0.682443096	0.678077896	0.70736066	0.687245393	0.6955874	0.650151867	0.671750654	0.669682915	0.659208896	0.651596724	0.689419582	0.626799669	0.635077656	0.662650693	0.642116154	0.653312977	0.679980186	0.650846302	0.676522071	0.635364367	0.71575288	0.624266964	0.628969088	0.669217196	0.630889203	0.626449187	0.664572566	0.662698646	0.658067573	0.676693294	0.610861807	0.637116523	0.673979575
RFX7 (10g)	0.612688386	0.611795805	0.586151258	0.605877304	0.500051495	0.488791239	0.651529404	0.700861684	0.628040784	0.592639637	0.711792372	0.723265474	0.719990388	0.600569879	0.645665831	0.697085379	0.628775447	0.598558138	0.587133098	0.597514504	0.630842116	0.636348656	0.656706375	0.625980981	0.681465206	0.669635072	0.601558584	0.48553675	0.574753682	0.63613581	0.656287548	0.620261595	0.57878403	0.603879296	0.628596931	0.609186721	0.717395036	0.626001579	0.632050534	0.600295238
RUNX2 (23g)	0.475991088	0.450022996	0.383590077	0.348498062	0.342498074	0.425088253	0.497231464	0.501093079	0.50063315	0.43128834	0.552763459	0.497846694	0.504025876	0.46467802	0.483355932	0.508980569	0.484810384	0.490272792	0.509975092	0.471648638	0.472532658	0.436087733	0.457062306	0.425031508	0.467192698	0.44433361	0.520702796	0.336321879	0.406852351	0.547100952	0.484795451	0.480936822	0.490795439	0.456521739	0.459281316	0.413219685	0.523985019	0.433770167	0.447803986	0.440277869
SIX4 (12g)	0.485528891	0.563263181	0.450830272	0.398164361	0.542171639	0.464912281	0.559812774	0.559932937	0.476081757	0.603105938	0.581030201	0.55343839	0.544815234	0.60023346	0.545484716	0.460718005	0.483177121	0.635813277	0.444993763	0.417493505	0.523975464	0.508194001	0.477975761	0.502346048	0.385083714	0.580314943	0.400052643	0.529108159	0.586963985	0.451041989	0.580131836	0.46515833	0.46975315	0.502140053	0.562771083	0.48749156	0.459287488	0.51134686	0.566948192	0.545055561
BCL6 (11g)	0.697117425	0.613954708	0.714014631	0.681799456	0.709651444	0.577189084	0.738982797	0.696455769	0.660301865	0.692891563	0.748189808	0.718265462	0.688940351	0.724694764	0.685887993	0.606120946	0.667917156	0.732871838	0.65101995	0.587956605	0.680045442	0.638629497	0.619747322	0.606894959	0.642362238	0.60460413	0.572307808	0.756735163	0.736529675	0.646107463	0.66432174	0.553537989	0.596633043	0.631831914	0.607550373	0.648591795	0.674889516	0.631007965	0.68214901	0.693671818
USF1 (21g)	0.556706864	0.636650869	0.564635195	0.535466525	0.561007919	0.555159793	0.576279114	0.60256297	0.567297597	0.705019641	0.599426308	0.584495272	0.609117581	0.675523895	0.586186257	0.481453135	0.635365459	0.685849695	0.57296583	0.548650974	0.572524277	0.575955308	0.547610871	0.600649574	0.508960257	0.547519289	0.491226177	0.586974511	0.636703201	0.593238023	0.560599073	0.633213296	0.531489277	0.566640173	0.604054439	0.550920883	0.607344827	0.629438835	0.603426452	0.599066524
FOSB (33g)	0.672955071	0.688815594	0.711539222	0.522574748	0.641273589	0.686056608	0.552538371	0.653456853	0.596251111	0.700586571	0.642056517	0.648551064	0.581871071	0.626806094	0.6922409	0.623863871	0.715443447	0.669104985	0.592786242	0.500783968	0.660365769	0.511041147	0.626385479	0.668932158	0.578860133	0.69322997	0.574731025	0.679301779	0.510801688	0.520623676	0.618983069	0.501573142	0.480025987	0.607489032	0.63777124	0.53838946	0.611351611	0.50793859	0.606718598	0.615478637
ATF4 (212g)	0.556401573	0.598367328	0.595385848	0.570783906	0.560132174	0.60121216	0.568759617	0.619168877	0.543326696	0.637354864	0.610508821	0.611819538	0.582417289	0.571769144	0.610837561	0.605052014	0.610679714	0.635338076	0.597909115	0.580731196	0.606204232	0.595485643	0.61011453	0.608042626	0.593035103	0.599190806	0.606647116	0.538114486	0.610731568	0.514640954	0.569277837	0.544907448	0.562902974	0.594380063	0.580406371	0.567211478	0.598830433	0.591395973	0.599361372	0.590537599
JDP2 (166g)	0.618181281	0.602906154	0.581588425	0.637061344	0.628059194	0.623399268	0.638191603	0.633977043	0.621289701	0.650424429	0.62179287	0.620205601	0.630522643	0.651780906	0.658147864	0.67497034	0.693192124	0.664312723	0.65358275	0.616428091	0.624703764	0.561428401	0.589130969	0.597597514	0.542252675	0.565095712	0.598066168	0.651688589	0.599027179	0.65118542	0.589210395	0.57598329	0.601772984	0.665757359	0.595009313	0.64268644	0.643869095	0.660999293	0.718519403	0.67288614
CREB5 (35g)	0.442631352	0.461503573	0.419306134	0.404955627	0.368940941	0.364792272	0.459263332	0.543844734	0.448876934	0.430248174	0.468705333	0.4738573	0.457266551	0.386650829	0.477414985	0.369932459	0.379140815	0.394740046	0.416893112	0.409261368	0.462202545	0.400516375	0.419806801	0.422946281	0.338635828	0.385904736	0.386874656	0.362281081	0.385337312	0.430479855	0.385464934	0.453948402	0.389391738	0.408334642	0.371222414	0.413824315	0.413090002	0.446878191	0.420706039	0.385307861
NFE2L2 (40g)	0.781975326	0.764338981	0.7679989	0.788580364	0.784968556	0.775468229	0.77984295	0.750941613	0.739032269	0.758027767	0.749013712	0.757146294	0.788570054	0.769528162	0.764192928	0.758062133	0.780556033	0.780781126	0.735327674	0.714570947	0.756644558	0.679287948	0.731114471	0.751055019	0.726040414	0.73359222	0.734961683	0.773141689	0.708453899	0.731708993	0.72783429	0.69060277	0.704230386	0.71548335	0.720986975	0.753484656	0.759144644	0.744477473	0.758032922	0.752220008
RAD21 (763g)	0.663777116	0.676802818	0.65003126	0.682655141	0.671024948	0.675181175	0.658738524	0.673293493	0.661951787	0.696424645	0.657447953	0.665481342	0.667181965	0.677987988	0.701472845	0.668666431	0.68193905	0.705132833	0.674280334	0.661081245	0.692440421	0.666808955	0.697111638	0.679730734	0.678419657	0.654816929	0.699622297	0.624469814	0.629226847	0.624337348	0.607686853	0.633892153	0.658218083	0.686242523	0.628646271	0.651748418	0.634497578	0.662855676	0.67513471	0.663626822
SOX7 (11g)	0.490749295	0.363954708	0.424833337	0.480287633	0.480543557	0.428547352	0.519687399	0.494819106	0.505592869	0.468540111	0.511610197	0.505880003	0.454420614	0.503071084	0.464176924	0.516060773	0.521572495	0.479625977	0.523126763	0.463652593	0.440638186	0.376332676	0.395689246	0.422848368	0.436693216	0.352375721	0.463084567	0.468571322	0.43884672	0.482928017	0.349598013	0.390714339	0.539162568	0.463040873	0.389884148	0.467915907	0.476036803	0.555622831	0.521310329	0.550398242
CREB3L4 (83g)	0.53043479	0.507855209	0.536083209	0.455574777	0.539455178	0.493496563	0.49670267	0.610385098	0.517982724	0.55471777	0.615525981	0.623086785	0.521989942	0.526692121	0.546123647	0.48042998	0.506864186	0.543584304	0.46645945	0.506218984	0.543814023	0.579898891	0.541051596	0.575705078	0.506685885	0.562270282	0.486267482	0.537904371	0.483089572	0.50016752	0.580324326	0.554289847	0.48628158	0.532754365	0.561031295	0.528768709	0.551664256	0.470318222	0.512304449	0.465436913
HOXC4 (21g)	0.500345066	0.559706155	0.519243538	0.400985808	0.401391383	0.467647242	0.426487952	0.455509438	0.442341343	0.517529658	0.470273665	0.464150795	0.512708552	0.506091797	0.525696754	0.434465345	0.486110702	0.496308943	0.392337909	0.384972149	0.526988706	0.505153088	0.529330573	0.478682798	0.472926254	0.432780901	0.361059597	0.38420352	0.405519087	0.438746774	0.400612941	0.374345438	0.41581218	0.466937486	0.443378176	0.424110107	0.511766572	0.454250194	0.420554787	0.461455686
HMGN3 (31g)	0.789030396	0.789052561	0.839939801	0.64021863	0.773510885	0.782768954	0.70241193	0.792111248	0.727668261	0.807327107	0.793722599	0.78739688	0.726471384	0.769171096	0.816070962	0.745275659	0.815053616	0.775999947	0.712104421	0.651154543	0.801338286	0.674061449	0.782862044	0.816272658	0.757940396	0.841478011	0.719234708	0.80582436	0.667101828	0.678102018	0.778043504	0.671049307	0.682240111	0.745111642	0.779025387	0.687180556	0.76392035	0.645573548	0.731283274	0.701387935
HOXC11 (67g)	0.34690814	0.374909643	0.323706865	0.252248663	0.261103673	0.36496932	0.270836585	0.349838589	0.298839115	0.351639573	0.382028356	0.366532089	0.365329722	0.366591643	0.349369348	0.295369602	0.365617222	0.339579962	0.294279155	0.260728895	0.357976901	0.368036332	0.36976236	0.285663386	0.339144604	0.301403002	0.279415389	0.273747525	0.338827327	0.36830227	0.295126254	0.270343727	0.313120693	0.354330781	0.348643409	0.26067961	0.419947593	0.325410304	0.28333258	0.343131618
