gene	TCGA.HV.A7OP.01	TCGA.2L.AAQM.01	TCGA.3A.A9IO.01	TCGA.3A.A9IL.01	TCGA.3A.A9IR.01	TCGA.3A.A9IJ.01	TCGA.3A.A9IN.01	TCGA.3A.A9IV.01	TCGA.3A.A9IS.01	TCGA.Q3.A5QY.01	TCGA.IB.7889.01	TCGA.IB.AAUM.01	TCGA.3A.A9I5.01	TCGA.F2.6880.01	TCGA.3A.A9I9.01	TCGA.2J.AABV.01	TCGA.IB.A6UG.01	TCGA.LB.A8F3.01	TCGA.FB.AAQ3.01	TCGA.FB.AAQ6.01	TCGA.HZ.7289.01	TCGA.US.A776.01	TCGA.FB.AAPP.01	TCGA.HZ.A49H.01	TCGA.IB.7887.01	TCGA.F2.A8YN.01	TCGA.3E.AAAZ.01	TCGA.HZ.A8P0.01	TCGA.HZ.A49I.01	TCGA.S4.A8RP.01	TCGA.RB.A7B8.01	TCGA.HZ.7924.01	TCGA.F2.6879.01	TCGA.IB.7644.01	TCGA.HZ.8638.01	TCGA.HV.A5A4.01	TCGA.FB.A78T.01	TCGA.H8.A6C1.01	TCGA.IB.A5SP.01	TCGA.US.A77G.01	TCGA.YY.A8LH.01	TCGA.HZ.A8P1.01	TCGA.IB.AAUU.01	TCGA.Q3.AA2A.01	TCGA.S4.A8RM.01	TCGA.2L.AAQA.01	TCGA.2L.AAQI.01	TCGA.2L.AAQJ.01	TCGA.HV.AA8X.01	TCGA.2J.AAB1.01	TCGA.2J.AABA.01	TCGA.FB.AAPQ.01	TCGA.FB.AAPU.01	TCGA.FB.AAPY.01	TCGA.US.A779.01	TCGA.FB.AAQ0.01	TCGA.IB.7649.01	TCGA.F2.A44H.01	TCGA.3A.A9I7.01	TCGA.IB.7647.01	TCGA.IB.7652.01	TCGA.IB.7888.01	TCGA.2J.AABF.01	TCGA.IB.7897.01	TCGA.HZ.8519.01	TCGA.HZ.7920.01	TCGA.IB.8126.01	TCGA.HZ.7918.01	TCGA.IB.AAUT.01	TCGA.HZ.8317.01	TCGA.2J.AAB9.01	TCGA.F2.7273.01	TCGA.IB.AAUR.01	TCGA.HZ.8002.01	TCGA.3A.A9IX.01	TCGA.HZ.A49G.01	TCGA.F2.7276.01	TCGA.HZ.8637.01	TCGA.IB.7891.01	TCGA.XD.AAUG.01	TCGA.2J.AAB8.01	TCGA.IB.A5ST.01	TCGA.HZ.A77P.01	TCGA.IB.7645.01	TCGA.FB.A4P5.01	TCGA.XN.A8T5.01	TCGA.IB.AAUP.01	TCGA.2J.AABT.01	TCGA.2J.AABP.01	TCGA.IB.7651.01	TCGA.HZ.7922.01	TCGA.IB.7886.01	TCGA.IB.7893.01	TCGA.HZ.8315.01	TCGA.H6.A45N.01	TCGA.US.A774.01	TCGA.HZ.A77Q.01	TCGA.FB.A7DR.01	TCGA.HZ.7925.01	TCGA.IB.AAUS.01	TCGA.FB.AAPS.01	TCGA.IB.7890.01	TCGA.IB.7646.01	TCGA.IB.A5SO.01	TCGA.HZ.8636.01	TCGA.IB.A7M4.01	TCGA.OE.A75W.01	TCGA.HV.A7OL.01	TCGA.2L.AAQL.01	TCGA.HZ.A9TJ.01	TCGA.2J.AABE.01	TCGA.2J.AAB4.01	TCGA.2J.AABH.01	TCGA.F2.A44G.01	TCGA.S4.A8RO.01	TCGA.3A.A9J0.01	TCGA.IB.A5SQ.01	TCGA.HZ.A4BK.01	TCGA.HZ.A77O.01	TCGA.FB.AAQ1.01	TCGA.IB.8127.01	TCGA.HZ.7919.01	TCGA.PZ.A5RE.01	TCGA.YB.A89D.01	TCGA.IB.7885.01	TCGA.HZ.8005.01	TCGA.H6.8124.01	TCGA.FB.A545.01	TCGA.HV.A5A3.01	TCGA.HV.A5A6.01	TCGA.HZ.A4BH.01	TCGA.M8.A5N4.01	TCGA.FB.A5VM.01	TCGA.IB.A5SS.01	TCGA.US.A77E.01	TCGA.IB.A6UF.01	TCGA.LB.A7SX.01	TCGA.IB.A7LX.01	TCGA.XN.A8T3.01	TCGA.YH.A8SY.01	TCGA.3A.A9IC.01	TCGA.F2.A7TX.01	TCGA.IB.AAUN.01	TCGA.IB.AAUO.01	TCGA.2L.AAQE.01	TCGA.3A.A9IB.01	TCGA.3A.A9IH.01	TCGA.3A.A9IU.01	TCGA.XD.AAUL.01	TCGA.2J.AAB6.01	TCGA.2J.AABI.01	TCGA.2J.AABO.01	TCGA.2J.AABU.01	TCGA.3A.A9IZ.01	TCGA.FB.AAPZ.01	TCGA.FB.AAQ2.01	TCGA.XD.AAUI.01	TCGA.IB.AAUQ.01
UQCRB	9586.3126	4787.5371	6761.1535	2723.328	3272.2688	12461.7635	3124.1339	1990.7394	4801.9082	4864.195	5465.1834	3740.5018	8641.0564	4612.4578	3828.8952	8760.6299	4449.4605	3828.934	8262.3869	3577.4648	4946.1579	3756.9819	2805.0774	3486.8385	3401.9445	4312.2229	4201.1967	3128.3973	1868.2437	2390.6829	3225.8065	2569.0773	3517.0789	2830.0613	3181.4012	1716.8189	3229.7129	3484.375	3585.5158	2247.832	3164.37	3792.8144	2567.9591	3503.2444	2374.6362	2781.8218	4083.586	4378.2178	3485.6278	2670.2439	2367.9349	3546.6849	3772.6144	3756.2297	3336.1378	1902.3541	3953.0293	3534.6756	2717.2443	3102.9796	2326.5306	3079.2515	2625.3212	2854.3549	3280.1558	3471.2842	3748.4819	3225.7669	3136.9617	3481.5853	2871.3826	2484.0985	2990.9829	2941.1765	3311.0771	2276.2582	2663.0944	3520.6532	2582.1808	3112.1622	2704.5828	3119.7029	3858.5123	2841.58	2306.1558	3167.4613	2942.6841	2546.3079	3140.4524	2210.6978	2868.9507	3134.9976	2926.9115	3121.9235	2102.8839	2958.7368	2770.2703	2405.199	2888.61	3193.0426	3830.3448	2766.1624	2663.4518	2804.3394	2690.5532	5684.5042	5312.8103	5064.695	4892.0821	2930.7995	2403.5764	3398.1481	1787.892	3024.8344	4859.8329	2089.7808	3409.9682	2017.8399	4323.9144	4533.5998	3013.1451	2438.4061	3216.3369	2886.4337	2603.6754	2145.7525	2739.6499	1732.0212	1894.4836	3725.9101	1816.6547	1663.9862	4234.2201	2915.2671	2458.5153	4310.5151	2668.6768	2512.789	3568.5654	3373.2477	2929.8765	4299.0325	3285.5537	3248.3534	3556.0704	2867.6811	4704.2881	2901.1424	2299.7921	2039.7661	3436.865	2545.6731	2568.7773	3849.8141	1776.9732	5387.6221	2959.8811	2478.9541
USP53	76.6088	1054.5994	294.8403	508.8479	400.3839	208.5384	1051.963	861.5126	304.4071	1025.9165	526.576	1307.5269	185.4742	1478.9813	792.6346	281.8898	892.1466	572.5888	766.6906	833.8028	1508.6252	1258.6967	1247.783	1394.8462	1257.7735	1365.3055	822.3635	896.2975	1134.9195	1226.0455	623.0585	1301.4963	1381.9199	1237.7301	1227.2655	1077.9151	938.8265	1262.931	637.6055	1534.9156	1122.2577	1399.4012	1325.0959	1060.5624	1691.0603	934.6471	777.3632	1066.8317	774.1517	913.1707	1007.6718	1202.5703	1461.2873	528.169	475.0797	1350.5352	978.2165	715.8837	586.2215	1038.6827	1423.2706	984.59	803.7565	1674.0152	1356.6695	800.4388	1535.6219	899.7955	827.7512	1048.0438	639.8714	1270.7917	807.9351	1304.8128	991.1179	999.453	1012.0563	706.0519	1042.5646	825	813.161	1032.7654	803.681	1502.7027	751.7705	825.3874	779.6705	881.1014	156.7596	888.6777	822.6981	1080.7868	925.4123	1093.1465	824.6298	712.4211	737.3678	674.0394	522.4349	554.1401	591.0345	902.4105	1281.2183	1030.2208	2066.9405	766.4215	168.8183	285.8903	331.1842	537.8192	808.386	1069.8653	1146.777	1096.5784	710.5432	405.5981	749.4382	918.9971	461.1216	874.3442	1465.5184	1504.0006	498.4683	949.6403	899.8909	689.0901	1031.4364	1202.8766	1407.0414	943.2548	677.2258	1368.1792	159.6244	853.971	1289.5197	873.0889	1171.2861	1002.9114	872.8903	707.9439	769.8765	609.0589	1890.95	489.9092	512.5116	626.8266	964.0887	1224.5167	1178.3784	659.6491	1269.5936	606.5705	831.8777	1616.3569	1185.3729	736.1564	624.0713	512.7551
UST	40.858	13.6499	9.828	48.2574	112.5757	29.2592	113.7413	92.6056	17.2649	269.6421	217.9646	380.6452	60.024	530.224	166.0057	366.9291	244.7767	172.0812	278.5918	91.0798	52.7967	248.8976	9.7374	360.2106	252.9561	87.0376	598.7285	148.9396	386.1917	208.0466	196.5352	184.788	692.874	516.2577	196.4257	167.6518	642.5302	373.9224	484.8036	308.0785	184.3237	142.515	490.4133	857.9668	343.0353	280.3137	210.3739	166.8317	210.9358	272.1951	105.2137	120.257	35.6686	195.0163	346.6117	550.0426	434.9898	165.5481	180.0507	313.9049	317.7843	577.3253	179.3213	273.5815	147.1087	126.616	279.2664	167.2802	119.0191	243.1502	207.9314	242.4484	283.5888	215.6863	288.3104	194.2013	198.5934	187.3199	405.7039	360.8108	501.9976	186.1075	264.5706	239.0852	222.9889	323.0036	244.197	505.0063	306.6807	191.1485	405.1392	238.082	573.8381	207.1185	106.781	201.6842	205.0529	295.0633	187.3235	157.7658	315.1724	254.6837	263.4518	435.4901	199.9476	288.1055	157.3982	198.398	104.7887	382.6019	147.3717	211.2795	599.3031	307.3951	295.5133	336.414	94.5988	280.6172	313.8727	127.9041	241.9219	303.8105	272.529	243.5766	169.1701	153.0832	231.9084	240.7267	226.5905	198.6081	384.9292	206.2033	117.3709	216.3393	215.7205	81.4305	166.0675	58.7787	130.2743	257.5935	269.1358	113.8962	148.398	91.4891	186.2836	274.9169	57.6904	98.8576	297.7131	72.5146	148.4035	239.5833	135.3712	78.8104	178.8559	101.9079	147.5978	188.1378
VAV1	607.763	68.8427	30.0013	89.0082	38.558	63.3063	94.6882	39.2872	7.2694	1569.9873	414.0915	281.7204	498.7995	45.4127	391.5014	103.937	483.1119	80.203	229.7819	47.8873	8.8866	6.3694	6.9553	282.6268	331.7859	469.1789	348.9155	107.7153	326.7776	358.9201	317.2043	251.3716	292.1084	149.0798	232.8009	243.9549	381.6063	570.0431	1797.0729	488.3615	582.0747	59.2814	696.2079	645.2776	587.526	328.5743	769.1037	181.1881	136.1573	160	589.9483	179.4881	176.0904	489.1658	388.9306	42.0377	369.6392	531.3199	350.3804	726.6074	413.9942	516.7859	442.9875	439.8265	286.3084	333.7773	332.7867	523.5174	377.9904	154.9637	367.6313	377.1124	1185.7529	351.8717	547.218	510.3939	371.065	746.0775	393.6957	170.2703	87.4266	675.841	333.589	460.2911	735.7908	563.7664	1057.3071	235.2941	545.5024	197.3934	308.3512	426.8147	493.6282	405.5282	476.2276	363.7895	497.6498	415.004	245.9994	541.8912	437.931	248.5344	249.2386	506.7803	379.9703	653.8169	455.8093	821.3185	373.2291	178.7003	435.9488	428.4512	116.7247	103.2009	678.2687	250.3301	331.831	758.92	135.0704	183.3625	466.4897	435.3165	998.1735	392.0863	378.6188	226.8219	189.4811	93.1113	610.4707	206.1028	348.9321	310.741	1275.4304	557.5482	88.6463	238.9912	415.1687	320.9867	284.2827	216.1215	217.284	578.7159	79.8201	536.1456	945.3197	370.0494	1099.6031	600.1757	481.4969	288.8889	652.7576	402.2436	276.2009	28.9963	275.887	80.9679	356.1169	235.9694
VEGFA	544.4331	39835.6083	4829.1737	3719.0398	2990.6574	1918.8722	4322.7483	6204.5742	5087.2331	1763.5765	1080.7581	2647.3118	3010.2041	2998.4658	2977.9037	1469.2913	3099.4311	2922.8426	3013.4471	7400	1747.517	3570.3087	1540.6016	3562.2056	4748.7081	2954.1276	1067.3149	4092.5155	3751.8911	3608.2583	2982.0789	1280.798	4267.6678	2228.8344	2602.5621	7049.9731	5179.3591	5176.1853	2101.6615	3180.283	7867.7103	4692.2156	3918.1934	6247.2963	3282.7443	10926.6037	4667.5801	5238.1188	7456.2351	1786.3415	2015.9699	17664.3214	7057.5072	3886.7822	2301.3406	10327.0652	1019.0606	1880.3132	1777.6839	5179.8223	5979.0618	1828.8387	3130.6813	3423.202	2005.2134	3172.2949	4864.8612	1847.4438	4693.1818	3488.7218	1751.3398	2498.4697	3752.9306	2122.9947	2596.8351	5804.1575	2330.5425	3089.017	2070.5479	5094.5946	4372.2679	1048.0559	1286.8098	3252.8067	1579.8075	3847.4374	1864.2573	2070.0876	1608.627	2414.0646	2652.2484	3514.3466	5167.1664	3269.9735	4307.8722	2709.4737	4416.5687	1996.5796	6426.7336	2130.8182	2915.8621	3634.2393	4055.3299	4943.8202	5552.7397	2932.2851	4280.0397	1551.4479	4390.1311	3565.9874	4764.6061	9478.5354	2262.6307	9515.4525	7186.1179	8583.5754	2880.607	2274.8312	5072.891	7449.9126	3822.5733	3329.2403	2760.3353	5648.5098	4329.9488	11795.1703	11803.85	15217.2597	9555.7346	3579.2291	8053.7557	5785.7553	1946.2702	2869.722	5273.7991	6675.3719	5133.2483	9768.7426	7204.1139	6497.6636	4426.6667	1970.5365	5708.2631	3459.8604	2817.4235	9234.3041	4246.6363	5124.3409	2629.9376	5284.2105	6734.7605	2401.4423	3621.179	13220.0743	7622.013	3042.3453	6372.4616	8283.801
VEPH1	10.2145	3.5608	6.7244	21.9839	0	43.0908	1.7321	10.1024	0	7.4457	49.4438	344.8029	190.8764	613.6852	155.8074	124.4094	134.7345	51.269	90.8615	22.5352	6.7956	1.4699	0.6955	47.1045	21.0213	53.5616	17.9506	57.1822	17.6042	131.8158	50.7766	55.8603	25.0294	17.7914	184.7224	47.2864	97.7944	20.4741	23.8594	44.272	25.135	18.5629	46.8683	10.8147	66.9439	36.9998	173.935	20.297	59.2176	43.9024	227.3368	70.0004	55.9434	47.6706	45.8454	4.7366	217.1545	87.2483	22.8233	15.9435	151.6035	7.1547	98.8748	15.9017	104.1361	20.9982	367.0946	195.91	152.512	246.2087	127.5456	228.0772	13.5257	226.3815	215.6202	237.4179	256.5305	29.4589	176.2625	23.6486	55.4642	6.99	31.4417	28.6902	64.645	47.0799	14.0798	1.8773	29.9842	49.4162	51.8201	45.5822	91.0795	64.7482	90.4131	146.9474	15.2761	52.9016	36.3979	45.0759	78.6207	70.717	68.0203	29.446	52.0842	25.3614	32.2741	19.7166	27.8143	36.6565	46.2463	159.9327	83.6237	19.8675	34.7959	86.6121	45.5839	62.1986	135.624	109.9176	90.3969	49.5128	30.0978	26.2076	17.7897	20.6986	27.1864	37.8501	10.9013	12.848	4.7996	10.3389	35.4721	81.2221	56.3319	108.4134	35.2546	35.3591	158.7553	26.8692	40	125.3298	188.308	46.7283	18.0723	81.8301	95.2473	40.8612	43.659	200.5848	12.6996	46.4744	13.1004	45.3532	58.6531	27.92	65.8742	112.2449
VGLL3	2.0429	58.1602	24.3114	72.3862	28.9185	27.6633	493.649	149.2914	4.9977	389.8376	305.3152	351.2545	193.2773	297.0236	265.1558	129.1339	192.708	85.2792	244.8003	163.3803	14.6367	69.5737	28.5168	804.1009	423.2285	365.6608	398.6537	447.4838	236.0061	404.4468	683.3931	263.591	681.9788	299.3865	182.192	402.4718	153.1419	211.7457	99.499	81.6979	79.8148	159.8802	381.3379	268.9257	269.4387	387.2914	462.5311	253.9604	152.1504	120.4878	876.1547	192.9497	82.2256	141.3868	36.2733	215.5172	654.8673	752.7964	234.5731	401.725	367.3469	693.4507	344.4671	1223.3466	708.6529	681.9713	1090.3053	568.9162	472.488	781.4451	610.9325	740.3859	715.0586	1255.2585	1213.6804	367.0678	2337.9102	478.3862	813.1232	1090.5405	470.0353	485.8017	456.6718	1814.9688	829.4897	1207.3897	779.6705	525.0313	867.4382	311.1594	1370.0214	1357.6702	3953.5232	1471.4123	657.8332	513.6842	1233.8425	520.8072	919.6737	1013.2288	1066.2069	1222.6868	1264.9746	483.5335	1225.2032	442.81	146.9712	110.9057	186.2911	268.0504	389.0859	157.8283	385.453	613.6865	87.7463	360.1796	373.0036	436.3549	288.4086	280.2898	513.1127	732.7894	310.8727	640.8016	622.9756	713.6697	900.0353	565.4807	516.2526	1146.1456	832.2534	552.556	131.4554	1057.7854	382.0961	493.4012	199.9304	533.6003	950.4219	1730.7243	584.6914	344.3272	383.3614	177.5675	397.5904	1012.597	217.9847	679.2619	875.2599	1454.386	149.8549	202.7244	603.7118	376.2082	1249.819	471.8474	866.2704	462.3724
VIL1	688.4576	430.8605	2946.3339	173.1906	62.3125	161.7236	79.0993	543.2861	441.6174	393.0287	397.1982	793.5484	1632.6531	711.8748	445.3258	647.2441	178.7514	2230.4569	1551.4034	1970.892	4611.6048	2775.6002	5555.9033	304.7936	1146.3607	727.2016	157.816	167.5571	257.4611	2128.1101	1118.8769	3628.9277	3871.9081	1360.7362	839.4749	1307.899	495.2143	1268.319	2885.4696	2098.5851	1262.0439	6055.6886	2476.3528	1509.0123	753.0146	3198.0696	1134.9502	3173.2673	677.761	1551.2195	1548.1447	2636.6802	5287.9678	1529.7941	2254.9914	2852.051	539.823	1681.2081	3392.6458	2716.6754	958.9186	422.6747	1659.6084	351.6444	748.9891	295.8552	498.837	1298.5685	912.0813	1079.1385	679.5284	1089.2881	517.5834	520.1426	969.0658	997.8118	926.3228	897.2142	678.0315	427.027	1296.3572	1439.9301	1303.681	168.815	917.3779	259.2372	331.316	455.5695	0.526	175.9435	4120.3426	2459.1762	14.2429	1112.0788	1686.6719	463.5789	106.933	492.5322	1108.8798	225.3797	33.1034	92.2396	575.1269	326.2301	1396.8365	540.1978	932.9692	449.1682	513.5942	219.3661	422.9998	708.7542	512.6307	2897.351	1628.3491	3023.5015	548.9671	1380.4243	551.9066	83.937	2559.3473	983.9182	1206.384	1409.5581	846.1861	432.0828	38.3081	22.7101	702.3527	315.8458	4104.6316	894.888	6.7814	50.0996	410.0437	79.0213	545.5178	395.3785	299.0506	1787.3832	213.3333	239.226	442.9455	587.3007	4.6339	1038.7988	157.1968	46.1336	3562.578	83.6257	1.8142	741.9872	194.3231	91.4498	700.9413	167.9851	2228.3309	314.4133
VILL	2310.5209	305.0445	69.8306	462.199	160.429	739.992	118.3603	28.6235	4.5434	746.1694	4105.892	1542.6523	253.9016	85.9159	2443.0595	847.2441	655.4218	274.1117	4568.6051	1675.1174	398.85	1694.7575	1727.004	1354.946	1171.9366	5441.1363	4725.8788	3494.7622	6149.9106	4680.7835	2839.9044	3404.9875	8117.7856	5816.5644	4065.4752	4511.5529	7281.315	1959.5905	12092.6762	10424.9201	5646.125	3067.0659	10563.6983	6953.8572	10174.2204	5862.8594	7160.4866	3414.8515	1592.3925	10094.6341	5388.4453	1349.7505	6074.1795	3286.0238	11002.4031	8624.8342	2857.0456	555.9284	1943.787	809.2002	2441.5584	2592.7353	1647.2047	595.9523	475.3352	467.9151	362.9777	633.1288	740.4306	2006.3719	1126.4737	570.326	1141.1181	496.9697	1323.9408	2350.6565	627.2605	314.121	851.7208	811.4865	1201.4101	670.1616	1370.7822	1079.4179	2704.1947	656.1383	1043.2273	1306.0075	156.2336	2226.4458	2127.1949	2436.1968	1265.3673	2794.0174	3098.2073	1456.4211	2423.0317	2086.4212	1016.9438	746.2028	1106.8966	1848.8911	819.797	2979.4653	2196.6268	3065.686	6980.139	9861.3678	2756.2028	3784.2079	2676.1215	3525.2525	6881.9686	4412.2517	2047.4132	4823.8711	738.1647	3171.1668	3204.0477	1681.2391	2265.3629	6122.9502	9637.054	4742.0349	1799.1105	815.8689	2526.2776	3679.788	8280.287	1758.5653	2032.6374	6591.0396	1502.8691	4924.5659	3616.1572	3267.8195	1095.6744	1679.3255	767.9325	1817.1729	1113.0864	479.7713	4329.3985	3171.6207	6970.8063	2561.3222	7344.8843	4521.529	10124.3243	2716.3743	160.7402	1479.1667	2258.7336	1438.6617	2081.1007	3153.5598	1174.3437	1165.8163
VSIG1	29.6221	58.1602	3.6208	2.1448	102.9362	0	12.7021	6.735	0.4543	175.5067	2137.2064	1047.3118	16.2065	4.9095	443.0595	971.6535	287.72	42.6396	1867.5412	2364.3192	134.344	739.8334	1026.6041	3088.3901	11189.6295	1863.3252	7543.3807	12779.5527	637.0513	1071.9958	1090.8005	2646.1347	744.9941	1029.4479	5643.8399	819.4519	3539.742	3471.444	5848.6093	17206.7549	944.5486	5944.3114	2137.6225	3517.664	7092.3077	4575.1056	5411.4195	5263.8614	1580.2896	1356.5854	154.0629	4675.665	4079.74	2075.8397	4566.4079	5080.6413	8296.8005	49.217	83.6855	25.6142	2459.3162	7728.6736	1956.9416	341.8865	10.8091	73.337	987.3816	1276.0736	19.7368	1863.6422	1163.9871	188.157	1118.1244	85.918	211.1281	1202.407	446.4166	109.5101	1324.3272	604.0541	378.8484	27.9598	281.8252	147.1933	158.3439	58.4029	259.1568	85.1064	5.2604	53.489	2113.4904	973.0472	82.8336	426.7323	871.3952	453.0526	32.3149	451.9439	390.3357	94.5615	105.5172	234.6985	12.6904	2106.9353	3326.0509	129.3431	2388.282	836.106	348.0021	1375.7632	708.4939	799.2424	729.0941	1056.2914	6892.1175	674.9406	58.3278	1310.9932	4544.2342	2.9978	47.6591	1488.1565	1548.5914	2175.2312	1188.8898	7.762	1490.3102	417.8653	2170.9084	127.409	501.5599	2943.7105	6.7814	439.1308	582.5328	173.4614	242.1431	50.5129	10.5485	1668.2243	373.8272	19.7889	779.6515	1658.6081	185.8202	111.6598	884.3287	433.6555	2080.2495	25.1462	7.6197	1438.3013	1044.7598	1054.2751	140.4779	66.0772	707.7761	11.4796
VSTM2L	31.665	65.2819	3931.7212	1089.5457	103.2804	5244.8464	10740.7621	6668.7246	421.6265	239.3273	548.8257	212.9032	203.4814	235.6551	1321.813	496.063	7564.9953	85.2792	2128.1109	144.6009	223.7324	11.7589	2.7821	371.294	551.4584	3587.0814	1261.4061	263.9689	1140.971	1544.2033	156.5114	1701.7456	2204.947	513.1902	376.4036	161.2037	212.6509	186.4224	2283.3994	106.8005	2414.2873	56.8862	1586.7064	1359.0483	1916.0083	1142.1677	232.7231	1027.7228	169.4402	3317.561	3817.1285	123.8468	77.3446	1156.5547	929	963.3147	577.9442	83.8926	186.8132	209.6184	348.7941	254.8156	711.9695	202.3853	195.0904	814.2286	125.5669	70.7566	414.4737	603.033	745.9807	744.9102	304.3282	660.2496	560.6942	690.919	481.9156	95.7413	348.6652	970.2703	105.2879	119.7029	447.8528	211.2266	2749.9546	1676.4005	178.6378	331.6646	33.1405	122.183	1847.1092	1504.2112	472.6387	971.6017	618.0826	482.1053	750.8813	514.4225	199.8745	799.1181	179.3103	291.0671	297.9695	373.8861	157.651	1478.0624	2510.9235	1837.9544	869.3585	2710.2879	1242.485	305.9764	1790.0697	2189.2936	90.772	464.7478	533.2824	3188.0424	1618.0773	1087.1846	2328.0451	3243.2861	4607.0181	656.2179	306.7886	816.3001	2263.4756	4487.5095	1947.4326	1611.8844	225.102	4295.807	284.2984	3961.2866	662.4454	23966.0979	1050.6784	3612.5933	690.4008	325.3505	382.716	89.27	6066.3294	803.2346	4933.2715	2254.5601	3935.3402	2762.7417	11467.7755	2834.5029	2522.1335	516.8269	3548.0349	1331.5985	4043.4468	1463.9367	702.8232	1659.4388
VWDE	0	1139.4659	107.0736	607.5075	0	474.5312	591.224	560.6847	44.5252	9.0413	11.5369	49.4624	45.6182	27.0021	32.2946	12.5984	9.1254	0.5076	2.2528	1.8779	13.5912	5.3895	0.6955	62.6212	2.4525	3.0901	11.2191	43.2191	83.6199	74.6427	26.2843	73.5661	0.2945	2.1472	85.0862	23.6432	24.1365	15.625	25.3824	4.5641	4.4097	7.7844	20.8777	7.9308	6.6528	2.413	157.9019	5.9406	19.0188	13.1707	104.5874	22.436	6.0073	38.4615	22.6708	14.802	2.0422	14.5414	5.9172	39.7282	27.0342	35.7733	61.6639	557.6437	649.8621	123.1685	37.7387	93.6605	103.4689	88.6963	39.657	11.7099	8.5663	48.8414	54.7218	12.035	100.8038	90.2978	45.8883	99.3243	4.7004	6.1162	25.6902	17.4636	12.3479	28.6055	30.3596	1.2516	0.526	144.4475	19.2719	4.1438	104.5727	29.5343	100.5456	32.4211	5.2879	35.1157	9.727	23.0279	9.6552	67.1299	125.8883	24.7966	25.1682	34.4915	5.9583	6.7776	81.5024	333.9175	1.8499	28.1987	23.0836	5.5188	56.4804	0	251.4466	13.5005	116.2491	46.9648	6.9935	30.1038	8.246	28.777	12.7549	272.1	152.8206	56.0182	0.7787	130.0857	60.4752	10.9133	77.204	22.7726	9.1703	5.782	6.4943	130.8744	94.9367	0.5841	3.4568	37.8188	12.9286	45.2527	2.317	42.729	47.2365	39.5431	18.711	61.9883	161.103	24.0385	122.2707	0.7435	191.8899	93.5319	87.6672	120.5357
WASF3	43.9224	309.1988	285.5295	316.8905	478.877	253.7571	410.5081	816.0516	454.7933	122.8547	119.9011	283.871	159.0636	310.5247	151.2748	99.2126	139.0289	217.7665	96.1179	91.0798	177.7313	136.2077	105.0252	246.0515	86.1873	75.1922	155.9461	182.1851	84.17	160.4023	127.2401	155.1122	88.3392	95.7055	220.1487	113.9172	94.8814	98.0603	51.2724	43.3592	26.8989	80.2395	76.6937	58.3994	53.2225	40.6193	226.8929	70.7921	95.094	114.1463	150.9316	121.1545	67.5827	109.9675	47.8606	39.6694	256.6372	152.1253	113.2713	232.0962	188.9743	341.2218	181.4477	565.2331	740.5528	566.0111	374.6423	281.7996	235.6459	280.8717	180.0643	366.2009	227.2317	392.8699	247.8816	223.7418	360.6832	201.0887	233.73	384.4595	142.8907	230.6684	363.4969	335.9667	297.8028	237.1871	184.3578	321.0263	246.7123	249.7964	186.7238	157.8423	265.3673	173.0405	264.2245	267.7895	164.5123	297.3435	208.0326	233.709	200.6897	252.634	90.3553	179.0004	172.682	67.4613	21.8471	15.4036	65.3313	193.0192	93.1093	124.1582	159.8432	123.0684	114.9779	66.5434	248.9958	135.487	80.2673	115.9131	95.0593	129.1294	72.9768	203.4943	156.4152	143.1652	106.2742	120.3634	63.0716	154.1756	183.3453	79.2648	97.0266	137.774	117.0306	72.7574	56.5928	119.3942	157.173	148.9486	106.1728	164.9077	130.9725	71.814	70.899	148.3422	91.7627	119.9473	136.3825	75.4386	66.0377	86.5385	81.8777	88.4758	136.1332	70.7306	147.1025	137.7551
WNK4	69.1216	909.1454	539.2836	2185.086	1086.3244	216.965	288.6894	5095.2266	2427.7419	14.3065	8.8587	51.3333	36.7167	37.9994	39.7224	39.9055	7.9069	6.4467	21.0258	76.7042	1512.091	3075.2376	1612.137	65.4475	7.3574	8.9819	57.2924	13.9631	13.1976	164.3992	94.7969	236.611	5.3475	16.2761	28.8629	256.5825	16.3129	16.2284	8.3407	13.8978	974.0624	149.988	726.3485	158.8897	25.1767	56.8872	41.3897	0.9901	1.729	147.7171	660.7609	2.1898	21.8067	108.2882	49.1151	39.4089	23.6555	38.6577	102.4134	271.2232	18.1023	30.1266	123.6998	151.4601	274.9905	110.5289	70.6263	7.0429	87.6555	7.9521	12.6045	29.2961	29.9414	28.9982	56.7024	29.8632	35.9846	109.9872	16.7642	86.7297	31.9624	49.0564	392.7607	26.7069	6.9221	19.8868	106.7603	40.7134	25.6444	3.9859	64.9893	263.0279	1.5517	347.7774	91.6524	35.1789	21.6804	53.9414	7.0725	13.5375	11.3241	9.6032	1.2944	13.0608	35.9976	130.0279	22.1648	7.8312	40.6024	70.5694	9.5206	24.5918	23.2666	43.0629	25.4515	61.0087	89.4179	90.3616	3.3214	19.3005	117.2182	71.8886	229.3738	38.3864	8.294	13.191	22.3382	26.0787	5.8244	131.1884	83.0814	8.3917	20.1513	12.7526	22.655	11.7665	19.9698	20.095	15.4061	3.2185	20.2469	34.8549	9.5222	54.2933	2.9657	40.6006	16.2075	15.7689	16.9397	20.9532	15.8454	21.2179	7.6419	35.1599	97.118	25.1233	55.1313	102.1429
