FC	opennes
1.175903248	7.962650927
0.623550167	7.95690472
1.358073749	7.952753102
0.889053473	7.952560862
1.74732097	7.94531704
0.70652999	7.919064611
0.870827021	7.912044516
2.135636981	7.902286359
0.597171966	7.8861612
0.77035282	7.860218186
1.126179238	7.833586634
1.169173833	7.822992486
1.017249016	7.822828378
1.110022691	7.80803071
0.582240843	7.797398956
0.471375489	7.761313008
1.599396569	7.761313008
1.437894391	7.759885052
1.316430343	7.756845931
1.670556252	7.737437518
0.586724014	7.71468987
1.361182793	7.714595335
0.218947979	7.711483887
0.776599773	7.705754664
1.366001368	7.705754664
0.61878346	7.699535955
0.640802407	7.661447183
0.824432069	7.572007614
1.240007525	7.572007614
1.030241382	7.563627303
0.652054999	7.556810851
0.549571921	7.554633622
1.681283361	7.530538153
1.828388429	7.52431865
0.534479081	7.518081384
0.534479081	7.518081384
1.252897462	7.508777892
1.310648952	7.488025508
1.4731525	7.488025508
0.779406436	7.487276956
1.068687094	7.485732598
1.296310136	7.473169551
1.013239623	7.463888112
1.276560694	7.463888112
0.498790851	7.459792923
1.328029015	7.459372409
0.913388916	7.438652066
0.685707559	7.437974949
1.427441572	7.433404044
0.885228412	7.400525393
0.717394936	7.390669065
0.928376948	7.380628305
1.547701173	7.376480971
1.544113444	7.369111607
0.903316196	7.347541777
1.177324324	7.347086535
0.595755618	7.338348798
0.931648484	7.338348798
1.366785835	7.338348798
1.234969658	7.302285829
0.623513677	7.30078819
0.710260688	7.298195905
0.787713363	7.298195905
0.572097628	7.296030566
0.743582334	7.292223729
0.851148739	7.288941746
1.454456447	7.276664372
0.791764253	7.266586804
1.21259124	7.260039899
1.104379556	7.252779932
1.259448048	7.24872767
0.968630699	7.246411085
0.662815628	7.231317933
1.20446537	7.213777752
0.834180352	7.204314667
0.975685282	7.187359424
1.167285451	7.187359424
0.558482251	7.165969809
0.698033693	7.162729335
0.737944485	7.160177951
1.03597433	7.14498365
1.375091177	7.14198866
1.136327173	7.128803883
0.761357031	7.073916132
0.484347136	7.069825428
0.603975423	7.067743574
0.670154456	7.059930833
2.057864358	7.043181945
1.571535109	7.018221213
1.495817516	7.011675515
0.899887807	6.995740426
1.033300197	6.960188529
1.25933441	6.937304635
1.163784227	6.929464512
0.678871934	6.928607557
0.40627668	6.920227358
0.398274422	6.919550613
0.617048071	6.907580043
1.081480678	6.900897827
0.614626667	6.898309343
0.926324744	6.884257675
1.063866584	6.879127235
0.300602974	6.877072899
1.707759525	6.872483922
0.447581134	6.870598842
1.205796151	6.856146517
1.773847042	6.852164386
0.516777726	6.822525248
1.118285544	6.821504084
0.56606474	6.820101437
0.73687356	6.819049805
1.137152835	6.816259679
0.388276167	6.815074126
1.591492268	6.79717118
1.224174308	6.796914968
0.765571306	6.785277585
1.045841679	6.773047343
1.753793396	6.769174036
0.405512943	6.745256544
0.810173606	6.745256544
1.176264196	6.741150081
1.373245402	6.733058387
0.715903547	6.72694695
1.54064742	6.724333196
0.649967171	6.715761133
2.086652246	6.706889726
1.17700841	6.687020698
1.198283515	6.685539754
0.688179261	6.657768473
1.702879951	6.656904861
0.656915464	6.652835475
0.478891435	6.647937796
1.421457498	6.639435272
1.347366895	6.62802352
1.473997683	6.62783621
1.856662142	6.62783621
1.351663223	6.620603198
1.1827314	6.615711742
1.200947001	6.605843593
1.255364845	6.597287387
1.09609999	6.585885694
0.743016165	6.583229614
1.360275172	6.581616706
1.288968637	6.576113591
0.505834827	6.573891544
1.236915646	6.573874065
0.610813983	6.544841923
1.270234642	6.538394774
0.611230592	6.533360347
1.344641811	6.530865038
1.242680366	6.525736577
0.512868402	6.51239273
1.623414329	6.51239273
1.780571852	6.509209537
1.586058162	6.477638904
1.030207223	6.4761324
1.06545935	6.463271311
0.983445933	6.462394582
1.076233544	6.438179458
1.404730929	6.431513369
0.814990283	6.410277178
0.576009134	6.378103141
1.582024628	6.376564159
0.40387011	6.365525002
0.866062211	6.354884347
0.737455545	6.353163232
1.107667419	6.343056343
0.652110544	6.335036561
1.614902889	6.333391113
0.894696516	6.332595321
0.502683649	6.321452652
1.209961869	6.307282159
0.96750204	6.301785642
1.481108172	6.298784661
1.728065185	6.297682663
0.645020543	6.292325514
2.632397907	6.284450598
0.954777244	6.281435167
1.565728277	6.276398006
0.753451717	6.271620461
0.99961383	6.271446526
0.605108057	6.268942233
0.677477068	6.263613821
1.860622365	6.263613821
0.729158039	6.261267512
2.018113515	6.259228152
1.578811591	6.254398893
0.81057646	6.243566994
1.052205739	6.239567503
0.440206159	6.232741573
0.480111292	6.232741573
0.935139476	6.231382943
1.306212447	6.230854445
0.980472653	6.230011668
1.586917693	6.229238825
1.456234799	6.223943213
1.414432752	6.22362676
1.068546656	6.220967595
0.478439004	6.211921983
0.370133502	6.210576201
1.48269019	6.208154519
1.338486265	6.206370032
0.647807105	6.203954132
0.760828613	6.197478625
0.553154234	6.18924144
1.522905564	6.17909261
1.030818456	6.174077076
1.421496753	6.165450399
0.625734939	6.161932472
0.779107496	6.150023825
0.58124551	6.147576443
0.872029749	6.144735777
0.819939654	6.138495713
0.861225523	6.128801525
1.50351914	6.124887234
1.198480009	6.095564083
0.964915972	6.088305037
0.358231689	6.081547163
0.8450469	6.074516654
0.770259058	6.069699091
1.456069826	6.053464504
0.26764784	6.040157931
1.578105923	6.03421072
0.587292541	6.03358335
1.266142902	6.030334542
1.198237938	6.02134998
0.464609959	6.019217738
1.327980115	6.016004069
1.327980115	6.016004069
1.066612871	6.014991127
0.632408999	6.014105835
0.432695182	5.997017181
0.316340201	5.996664279
1.230135174	5.985853838
0.663452504	5.98272599
1.513386417	5.9781518
0.341513746	5.972728322
1.457163052	5.965034793
1.068606777	5.949678444
0.750127179	5.938279799
0.40762863	5.929225099
0.989762832	5.926976381
0.67151764	5.923988086
0.676106844	5.918871255
1.735670111	5.913573161
0.910315126	5.913170904
0.521999835	5.88511762
1.269449518	5.884736191
0.652329514	5.884536446
0.827959686	5.8839628
0.674416371	5.879980584
0.603237313	5.878536062
1.032887214	5.878536062
1.049524806	5.867407434
0.587886956	5.866434285
1.614768502	5.861556783
0.915641259	5.861465961
0.91846649	5.853376796
1.4360845	5.85276614
0.442698156	5.84356736
0.989822508	5.839356222
0.770194157	5.834809197
3.088624688	5.833334856
0.764782506	5.823244755
1.006441228	5.823244755
0.904227467	5.817688743
1.435914262	5.817400197
1.382225083	5.813984928
0.559328568	5.803136537
0.61975711	5.803136537
0.497735105	5.797264451
0.540802468	5.794644212
0.765953658	5.789106392
1.451655852	5.773404741
0.354169862	5.771328313
0.813706157	5.769452269
0.674796766	5.765804246
0.922153974	5.760271317
0.808956703	5.754222326
1.225876491	5.75257684
0.356295831	5.748237674
0.419429873	5.744447529
0.726252128	5.739287235
1.376231416	5.733594952
1.27966628	5.730856684
1.629413366	5.728474076
0.302949857	5.727755358
