genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
HIST1H4K	179.842	110.934	176.91	133.839	169.898	107.106	92.1694	325.804	151.615	150.559	162.906	90.2008	73.6796	84.9026	151.867	110.713	91.6177	148.669	121.094	128.497	133.365	379.11	70.9953	129.094	239.784	53.4807	109.383	105.427	187.485	77.7075	204.142	115.325	198.356	63.2358	51.675	86.7337	89.3244	207.897	237.139	141.662	100.676	0.893011	168.202	151.499	11.3431	12.4306	17.6936	125.421
SLC12A2	28.8949	103.873	137.005	120.471	63.1763	40.9641	166.914	48.6324	120.165	160.495	469.202	45.2846	73.9809	57.9679	40.4671	50.3144	51.9343	60.8741	99.0901	89.6664	98.9579	72.0493	71.5733	80.2104	101.361	84.542	121.693	110.962	90.5676	102.57	80.937	54.6811	145.246	63.9924	83.7462	162.561	8.19838	9.86515	121.989	151.546	158.775	1.50534	218.348	96.2507	104.337	83.5336	181.582	14.5859
RPL29	194.831	162.313	179.655	165.681	255.802	77.865	87.1307	222.525	176.988	80.8531	124.384	120.901	347.732	131.151	125.452	195.268	118.985	102.228	237.469	223.58	77.9408	295.436	138.435	287.958	148.302	99.7767	230.783	172.746	172.619	153.556	140.594	119.269	192.962	70.8175	203.068	101.724	382.184	252.73	266.844	115.587	75.8138	84.194	166.95	169.869	169.214	117.64	139.155	48.3334
RPL32	149.914	117.075	143.367	142.264	139.233	46.9505	69.3298	237.754	121.606	75.6444	122.556	88.293	141.749	110.094	83.6797	125.063	103.902	187.965	123.284	124.749	147.015	228.86	93.5416	188.062	380.126	96.6994	191.062	94.4813	133.412	113.964	137.404	98.13	153.86	88.4271	86.2003	94.2139	365.218	68.8219	272.52	94.9053	56.9218	38.4662	143.998	186.636	56.7046	55.438	57.2793	40.6548
SAT1	97.9	258.525	121.156	145.27	47.1675	85.1004	48.1324	75.8128	260.997	48.3623	122.68	74.3649	164.272	73.3408	83.4713	104.364	69.7848	112.241	131.724	147.704	255.615	93.262	122.335	205.568	191.728	81.1553	276.33	107.778	186.768	246.746	66.5901	84.9709	147.1	157.793	116.605	330.144	14.7855	38.4159	110.115	66.6562	156.006	39.1528	183.133	103.148	166.239	209.369	114.921	30.2164
RPS15	55.1863	79.1966	100.554	71.8445	130.59	33.0427	43.9033	136.164	77.7547	54.4496	84.072	28.8488	150.975	109.82	50.8277	86.1911	61.5326	182.173	164.928	81.1942	115.689	274.446	32.67	151.611	163.471	50.3433	79.1038	120.884	127.003	59.4191	97.0985	185.675	108.39	183.486	106.206	177.29	391.473	246.397	131.534	50.9269	37.5185	55.9875	86.7802	234.505	90.4619	85.4901	58.5979	169.861
CYBA	379.165	141.042	75.7683	88.8411	192.355	132.077	162.976	291.61	82.113	262.557	194.037	79.6209	112.644	42.0189	134.651	79.8405	149.507	195.609	125.483	107.095	111.149	103.525	99.592	114.085	252.387	155.358	107.549	170.211	149.274	90.1509	106.341	122.703	109.671	96.4933	147.183	139.156	0.222669	30.7081	57.1701	160.309	141.597	2.37079	218.271	62.3102	110.824	115.466	136.313	110.109
CD74	148.572	164.855	134.599	133.875	27.7131	285.44	185.122	122.387	179.075	103.912	210.085	38.2199	124.125	142.312	71.8071	88.4768	19.3673	49.3331	164.316	45.0212	81.8112	144.481	172.404	194.85	118.234	78.3602	113.331	114.788	185.263	300.478	83.7611	172.213	167.652	89.6207	87.5731	27.0116	0.989028	11.7414	68.5186	232.045	169.744	3.70666	97.1845	65.0099	66.4882	92.7213	34.3561	6.02212
HIST1H2AI	182.201	135.938	208.239	175.495	149.653	157.688	94.081	272.435	164.738	165.215	165.476	124.386	105.717	101.181	119.798	166.058	111.576	132.34	151.414	142.844	115.94	364.294	112.257	113.308	197.892	74.1539	154.531	104.534	214.796	82.1238	190.663	128.102	216.256	56.2485	41.1432	94.3396	102.471	178.29	240.971	172.957	105.04	0.158134	175.142	232.891	11.2218	9.76108	24.284	240.515
TUBA1B	253.025	212.921	206.269	206.045	179.562	194.131	124.294	252.516	213.354	188.945	230.607	212.803	162.514	181.525	159.493	394.894	193.862	152.877	210.949	202.343	129.887	414.96	149.741	142.406	229.46	166.149	167.224	261.037	278.072	172.043	162.047	171.842	251.56	136.955	113.837	196.203	226.943	319.006	209.56	216.88	174.308	118.647	193.332	226.099	51.5205	59.6099	74.3739	252.68
TAGLN2	223.067	137.6	99.2594	124.316	162.854	58.888	100.815	269.996	115.247	114.898	172.675	151.15	278.9	108.703	272.297	122.784	157.319	161.613	143.468	109.885	135.129	259.107	111.406	244.092	292.254	109.046	112.109	116.977	130.449	191.45	57.6377	188.255	226.808	290.454	88.945	86.7836	45.8869	70.857	98.6103	116.3	207.729	19.4839	158.227	125.801	65.3112	80.061	77.6901	201.954
HIST1H2AH	138.28	92.7287	132.743	118.438	125.847	110.604	66.1971	256.035	118.284	107.091	86.2981	84.9054	74.2267	69.3122	123.092	169.482	83.4848	122.158	200.113	82.8548	91.4856	411.81	74.3064	120.67	232.059	48.4456	157.243	94.9093	169.002	67.6335	148.619	105.197	111.84	73.3468	54.8929	129.382	200.104	126.397	131.621	128.942	64.9551	3.21728	79.0126	196.018	16.8826	14.164	47.903	278.309
PPDPF	429.922	182.367	146.188	129.958	157.827	212.842	156.089	221.321	136.942	160.799	126.763	114.419	162.281	148.696	119.218	217.522	133.544	195.397	205.65	137.366	97.2826	187.558	162.592	160.312	241.978	110.353	109.118	182.556	121.982	111.94	92.6115	105.247	190.529	76.2873	102.772	80.1863	30.7717	53.2552	173.297	143.076	105.093	20.3213	206.344	202.719	50.0525	63.3258	38.6604	112.95
RPS9	242.327	250.126	279.079	267.474	290.918	163.467	138.141	308.432	202.772	165.966	206.878	126.611	220.581	226.553	89.3947	208.688	240.545	287.388	247.748	249.705	237.997	321.672	142.405	251.843	199.848	143.409	242.588	223.369	226.286	220.129	215.907	174.151	263.035	110.532	168.705	138.912	243.299	270.37	415.38	178.09	205.588	98.7526	218.701	293.023	99.8468	92.129	114.176	103.351
CD59	93.7629	176.8	76.961	82.4144	79.0329	51.6405	94.756	192.946	74.263	92.131	76.6021	96.252	90.2951	73.0185	113.316	62.7494	57.3794	72.305	55.2992	104.459	73.3843	73.4988	65.5912	75.0012	51.5795	64.2936	86.7498	58.9047	61.3194	61.0439	55.5561	248.3	81.6715	87.0327	70.7626	26.8567	10.6557	23.1972	67.6208	138.057	113.027	226.847	125.489	53.1864	154.862	308.873	356.498	62.1629
TPM4	103.948	239.363	196.591	231.413	207.847	100.117	276.256	127.232	204.963	305.075	95.7495	218.198	109.712	81.3875	116.798	183.521	121.89	58.0299	79.6959	207.365	91.4979	168.113	135.625	76.5329	72.142	106.825	54.4455	90.9599	146.55	76.4484	106.282	156.552	172.288	92.8598	89.4126	60.024	15.3564	12.7724	153.183	246.188	91	10.3532	120.121	89.7498	139.415	161.591	81.0856	13.4477
SCD	178.267	208.299	106.598	118.394	102.857	109.876	92.0795	137.322	103.063	74.7558	123.356	137.83	222.28	64.9816	305.561	89.5499	88.3326	71.1167	86.8854	112.388	49.6207	327.318	95.2443	169.831	329.807	61.0061	153.764	145.068	42.532	101.837	70.4572	130.237	106.592	175.099	187.968	76.6616	59.7038	117.382	133.206	49.0038	54.5603	92.4954	92.8251	203.839	63.7426	108.949	109.755	32.691
