genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
ABCF1	28.5137	20.9158	18.3276	21.4851	13.6126	8.61634	69.8172	16.6277	23.4166	60.8431	23.0247	21.7631	7.96863	17.2717	12.2205	17.3101	17.4608	20.3682	31.7132	18.4271	21.3408	24.6661	9.90456	38.4807	12.2377	26.0561	76.9897	41.6516	19.7912	18.7087	18.0782	24.8561	29.7038	12.8834	10.4204	11.741	9.73326	10.1984	21.7009	69.2831	29.867	7.76173	20.8703	15.5722	7.03854	7.494	13.8283	7.00977
IER3	34.4839	26.0884	42.0633	42.1795	31.2478	8.01192	48.7215	41.485	42.8539	50.6557	32.4742	24.1578	23.2057	32.7503	40.1608	44.1173	38.4556	21.9445	20.8893	30.9513	26.7861	39.9503	15.7192	45.9938	58.303	23.3582	28.0924	72.4315	18.2686	36.0128	13.524	28.8573	35.4573	22.3676	17.4039	17.965	3.9391	13.9693	37.9309	79.8395	54.5082	1.62286	35.6459	52.6626	10.5963	19.2551	32.2177	7.17032
MRFAP1	54.6267	79.7781	68.6574	73.9675	65.5025	85.4677	56.5016	105.429	75.5857	59.5522	78.0432	81.8109	49.0708	47.6703	68.4533	64.486	67.7926	60.7417	58.5316	68.2567	77.3045	77.5858	76.8332	65.4943	97.5903	57.3573	64.3649	63.3236	73.4551	60.2449	36.9543	63.6964	89.8832	59.1818	51.2224	68.4214	53.1783	27.4862	42.933	78.3844	80.3733	76.5776	71.647	65.1779	32.8311	37.6063	38.1001	46.9473
TC2N	42.3453	38.9982	44.9461	32.9306	22.3333	35.4765	18.0773	20.1331	60.6397	17.1535	21.7224	47.3132	42.4527	12.2702	34.0115	37.3811	24.3521	37.806	41.6895	53.5676	60.9446	23.6442	54.0728	31.4347	43.6894	17.6616	44.9313	34.3066	26.2126	66.481	19.1004	7.92458	61.2667	42.1673	22.6212	51.0992	2.42137	13.6846	35.3785	15.4402	58.5953	5.34779	36.5328	34.5732	16.3874	18.6182	15.3168	6.72542
C19orf48	16.1087	13.9518	22.7636	20.2168	32.846	26.9909	19.6672	27.9973	23.2489	26.6937	21.2474	11.906	32.8274	29.8149	8.09702	33.6904	20.1588	24.8385	28.5072	18.4306	14.3215	34.6383	15.2418	27.541	28.926	12.6633	16.3984	32.3377	20.6994	11.3256	23.8358	29.598	22.3996	18.4025	25.3294	27.3564	43.4967	118.544	24.4359	21.4974	12.782	4.43578	15.741	38.3586	14.2309	14.362	13.9088	95.784
LINC00632	0.0725178	0	0.150146	0.0137295	0	0.220885	0.0779518	0	0.0552765	0.0670977	0	0.0467859	0	1.42712	0.0320736	0.861594	0.0334203	13.8004	1.18964	0.084095	86.962	0.258952	0.0986721	0.00336099	1.01804e-06	0.137046	0.142653	8.37738e-07	0.0689299	0.0962934	4.33557e-08	0.142913	0	26.5848	0	0.478772	67.6827	0.194858	0.40747	0.0331178	0	0.188044	0.0224671	0.427337	0.402942	0.128914	0.229453	0
H2AFV	50.7636	49.464	60.5177	54.2223	58.9219	53.8777	49.683	79.9297	64.0577	71.5548	50.9872	91.4408	59.5189	62.0199	63.8759	50.7466	45.3091	55.4347	63.312	64.8844	46.6174	77.8358	40.9005	51.3365	90.853	50.3191	56.4543	70.6247	54.625	43.5685	70.5867	50.5403	59.9831	32.0227	36.3346	64.645	33.2697	39.3967	61.4982	70.6646	39.4012	33.3181	57.2878	37.6354	17.9448	21.141	22.98	73.4164
PLS1	61.8474	52.5525	30.9242	34.1511	29.2677	30.5049	23.9394	51.4218	49.2008	30.4809	22.5165	33.2966	31.5293	11.3645	39.3257	24.6979	25.2713	42.3461	26.8495	39.4986	60.0415	29.8496	93.3769	43.2412	56.7219	25.6562	48.2256	28.5459	35.4713	35.7489	26.7177	13.8577	46.3933	51.5657	18.9312	34.6509	3.25129	23.611	26.7344	24.1379	59.5438	18.0924	33.1046	25.1629	18.9103	20.5204	14.6156	32.158
NPNT	12.53	10.9053	9.11249	7.19338	2.31078	12.2239	3.92885	78.3224	41.92	3.54047	13.1769	35.6352	18.8395	2.47765	32.9547	8.56268	15.7927	24.6341	11.0732	27.9133	13.1372	10.2145	75.8491	15.5179	9.87755	19.7433	13.6289	16.806	36.1759	14.3617	14.048	28.9795	11.9772	12.1982	18.1924	6.21559	3.61155	3.53677	9.42504	2.53893	12.4417	3.84896	11.4367	8.89663	18.3716	21.903	39.9718	28.7236
DHX15	60.1205	59.349	65.4513	70.5027	47.0376	54.253	80.5103	60.9867	78.4644	97.3113	77.0697	54.8603	41.1185	43.0831	44.6583	69.3651	62.1115	44.1958	58.4231	59.0368	72.9886	58.636	63.817	54.3247	43.1564	47.3049	61.1205	51.4129	67.525	50.4231	44.4181	77.0117	36.6467	52.7354	50.0439	50.9851	34.6325	32.4573	43.9309	104.462	64.3863	26.4251	65.4878	56.5687	34.1032	37.2249	40.1417	42.0154
HNRNPL	66.0782	64.5945	72.341	69.3312	67.375	55.5634	46.9126	57.0685	81.9043	56.4194	103.821	68.1434	62.425	58.9135	44.2406	74.727	60.2595	58.4964	75.6517	68.6544	67.1344	100.41	65.4329	58.2904	72.5834	82.74	56.2118	77.1935	77.9859	55.8491	73.0583	70.1609	73.6813	59.5032	56.6404	106.345	65.2487	86.3851	75.1209	61.1049	66.0686	34.4884	96.6868	86.9652	35.5279	37.0426	50.7573	105.262
IQGAP1	76.238	69.1935	56.1711	68.6396	44.7911	56.8841	66.3073	41.1822	58.4097	73.4464	70.2956	26.3164	39.7244	47.9896	18.4004	38.3242	49.929	36.1597	44.6292	58.7712	57.0779	46.3277	42.9975	37.4992	37.6299	36.2882	44.9426	29.7421	47.0898	71.833	53.4276	46.899	72.2751	40.7132	43.123	39.8096	17.2889	23.0268	57.5319	63.3321	54.9285	42.1382	94.4128	39.4998	31.6528	40.6654	41.0383	25.7696
CAPN8	40.8666	14.8696	34.6499	31.0224	18.3689	6.08509	22.9945	25.9566	36.3785	41.6526	18.0954	17.3229	7.37064	14.4583	21.9019	28.5548	38.6897	6.96607	10.3555	18.7877	10.957	8.16819	70.4104	14.5186	19.2133	22.1336	23.7946	9.93039	7.07527	27.4432	20.6861	5.12483	14.691	0.713259	28.0603	16.4309	0.110132	7.64517	44.7248	18.4535	76.9425	3.20103	32.6124	30.6355	12.2757	3.21193	6.84674	57.2131
ADH1C	4.62417	4.54254	28.3993	10.4955	0.993627	18.5682	11.4733	61.7798	28.967	8.83403	18.5525	55.9312	8.74452	0.103087	48.6137	0.721497	1.7752	16.7168	1.663	32.721	13.5753	4.40553	11.9748	15.2088	13.6756	4.71252	34.7546	11.12	6.27907	22.8155	15.0317	8.30619	38.5757	8.18793	1.91867	0	0	0.0533068	29.0329	5.32427	56.5542	0	6.28182	27.3168	7.2081	5.38896	10.7096	0
SAMD4B	33.198	27.5242	23.2791	26.7001	35.166	34.3173	27.7267	37.0993	21.2889	34.2702	95.1864	28.1574	30.9864	31.7055	20.6491	36.0614	36.0096	35.1517	34.1818	28.0414	26.6455	35.8299	30.5647	31.1799	30.8207	71.6384	26.0192	37.9055	30.9397	20.6814	32.7275	41.3836	29.4988	31.761	23.0087	69.5588	28.5974	44.5428	26.2523	29.7443	26.5069	19.2851	87.7073	28.7499	18.3942	15.8564	17.9826	87.5671
TNRC18	55.4394	46.8694	52.2469	54.6118	65.9256	80.6861	61.9268	64.8017	42.4451	81.3226	36.2014	50.8154	55.3444	61.2721	51.1158	41.1338	46.5356	57.9023	65.1533	48.0453	54.8743	52.9665	33.2513	79.2888	78.6727	73.9235	75.6143	71.2457	48.122	33.0392	70.0172	48.6377	59.99	44.3502	45.588	34.7673	14.473	20.1544	49.0191	55.0266	31.1532	14.4381	57.096	49.0351	52.7025	48.6041	38.7183	45.3995
CYC1	52.1361	31.2634	39.5723	33.4104	44.045	31.9627	20.3185	51.1703	37.3513	23.1127	43.8121	25.6082	67.7606	26.6376	22.1947	46.4847	29.1019	44.3959	56.2086	28.5164	29.5557	74.5118	56.6805	54.3046	78.1792	23.6618	34.4831	51.187	35.0957	26.6741	38.1828	66.3267	47.759	28.9252	33.6875	30.8539	26.9913	45.5402	51.9953	26.9244	61.6331	19.391	30.2823	72.1406	19.1414	18.1665	20.7574	46.0101
NCOR2	62.4945	52.2133	38.7474	39.6782	73.201	52.21	53.6496	92.8461	41.6062	57.3141	50.8358	56.8634	53.8578	90.7237	71.7186	70.6958	41.9322	39.5488	51.3031	55.6365	27.1506	63.9539	21.8268	57.0612	37.8904	32.1702	37.7848	51.8493	32.4231	37.5726	34.6605	49.7592	51.3202	47.1832	58.2706	28.3666	23.1403	28.2197	33.0715	56.4511	48.2271	31.7727	44.7268	54.7076	33.6436	31.9416	27.5586	38.9778
DDOST	62.6789	49.6958	60.8336	55.3199	76.0792	19.9174	48.0552	110.032	58.3664	54.4761	54.1491	52.3516	64.7817	46.5737	46.6563	89.5262	47.8557	69.1934	87.297	45.905	66.3085	71.3058	61.6254	56.0307	36.9467	50.2866	62.0204	73.9521	55.2402	52.3182	41.6504	76.1923	66.998	66.4832	45.857	53.8826	32.791	51.5918	51.3741	47.3121	67.8939	32.0219	68.0809	85.5627	56.8311	66.6121	57.3773	81.8589
SMCHD1	38.7855	29.8674	34.2261	34.3488	22.8248	29.8834	72.7611	26.1111	31.1796	70.3625	46.6335	36.9746	26.8362	41.7632	19.9597	41.228	35.1956	21.4597	27.3585	17.1775	26.1259	18.4483	30.381	20.2365	22.3045	56.4141	28.8565	21.0143	29.8226	28.5284	45.0133	21.6796	45.6019	21.4898	11.7533	8.69969	13.6676	40.151	35.8586	83.6793	47.7945	13.398	48.1881	22.9783	18.7936	14.46	14.6821	21.3257
CSDE1	86.2075	78.0435	81.9173	88.3587	106.951	41.3581	90.7038	87.9352	77.3011	84.6441	78.4954	76.2222	78.6417	121.053	71.6125	90.0769	69.7494	92.2429	68.6646	68.7245	87.3759	112.054	109.671	66.0282	80.9944	85.7662	66.3916	67.109	64.9098	70.5031	68.8017	100.126	93.6062	65.978	74.9315	70.6607	87.754	66.3114	85.6901	92.1543	80.9312	62.1792	90.7954	87.9415	59.5137	62.8444	43.2926	84.327
C20orf85	7.13074	0.135276	3.9916	6.96815	0.66309	2.02746	0.940485	2.81833	1.62793	0.736799	31.9203	15.9052	0.775341	1.91147	92.302	0.530353	0.194452	43.4594	2.26361	0.240531	30.1493	10.4327	0.210889	1.65384	6.35096	12.3575	0.505843	5.66961	16.1562	2.50732	0.12095	11.6241	6.97081	32.6428	1.78571	0.367425	0	0	1.08156	0.516774	7.76163	0	9.87001	1.89346	0	0	0	0
C12orf57	14.0672	19.8888	20.865	23.643	46.208	17.1252	44.3106	16.159	39.825	47.9387	38.7889	23.2843	20.3785	34.7482	22.2541	63.6433	10.041	30.3062	31.9789	29.764	31.529	24.1793	23.7268	20.7796	20.2504	34.6643	28.0085	25.1709	10.8546	19.3206	41.8748	26.4373	35.2564	10.6624	9.34628	36.1082	20.1288	92.8032	32.2774	42.074	20.5238	52.1929	50.8838	35.9152	8.54846	8.93218	14.7076	18.9191
MGAT4B	89.7936	48.7198	46.1944	36.5324	43.245	41.7311	24.5641	77.546	53.1619	39.8854	52.7655	29.6284	71.6258	38.7294	44.0297	67.0117	28.1352	36.3116	56.4556	36.2696	35.6331	33.1257	53.7508	47.362	78.8306	32.5416	37.6567	45.7452	39.6456	25.614	54.7724	81.3568	58.5117	36.1027	55.7221	39.2043	26.0972	28.6663	47.5516	38.9274	66.6656	18.6911	41.3276	45.5349	37.8219	43.5259	34.1717	39.4101
SUMO1P3	27.7656	24.2631	33.9137	38.0979	57.2399	32.9093	22.0925	90.0063	36.4732	29.7686	34.5369	41.9992	42.6953	43.0989	58.8158	30.967	39.1855	65.5424	37.4728	32.0841	48.3513	79.6084	28.4238	80.2394	46.5332	21.7623	36.1639	58.0825	32.6904	29.6705	44.7716	37.0895	40.88	49.9033	25.997	28.7106	29.8263	16.1285	26.0634	27.6254	31.8458	30.2849	45.5042	33.4402	21.3113	33.3387	19.8201	15.2066
CPNE1	41.1669	35.7716	14.4445	14.5575	59.549	47.3198	44.4703	70.6298	27.8231	46.383	42.1802	45.615	58.1513	78.5173	43.9452	53.3714	43.5154	49.7914	52.4382	31.7327	41.4789	18.1152	37.0213	56.1172	55.2709	27.5321	46.1908	73.0047	33.7083	39.2317	46.0639	70.1423	62.4009	43.0262	58.4062	27.251	42.0367	67.1038	10.9335	44.2082	38.1941	20.9162	40.0093	16.9763	39.4654	40.064	32.8166	95.1387
MT1G	4.91105	0.0654994	8.94983	3.54157	1.11666	3.75404	1.52491	6.74588	15.2653	1.41992	3.1712	7.12462	2.95643	75.3535	3.63982	6.75243	6.07309	14.1549	21.6568	2.95775	1.75144	12.0958	0	8.32671	0.413765	4.43076	13.5143	24.5655	8.87921	6.72369	4.83399	34.8414	70.3279	1.82151	4.43516	9.0723	0	30.7886	23.5192	1.13987	2.30316	0	6.31331	13.7208	0.70572	6.74256	33.1742	0
HINT1	24.8825	50.1481	53.1903	49.9051	46.693	66.4262	28.3781	40.9374	56.8887	37.08	53.9614	23.6033	59.7529	71.5911	16.9048	65.4902	45.99	50.3176	58.2827	56.5846	54.6999	78.0235	57.4198	53.0496	57.7562	34.5853	50.2312	50.486	65.9187	62.8855	65.4892	71.3959	62.0488	46.1664	40.8079	60.9652	34.916	17.3334	76.9258	40.9126	57.3242	28.7341	48.8824	53.3778	25.8199	26.2624	22.1137	45.9631
GTF2I	68.3086	56.5623	63.9229	61.5863	79.2266	93.1333	47.2277	98.7217	58.2147	68.6604	42.9687	52.724	80.3967	100.553	68.0611	61.602	49.5102	70.1573	91.0841	53.5137	60.1951	71.1177	58.8141	103.033	86.4215	45.3235	83.9356	72.8725	53.8179	64.8221	70.0612	63.4843	68.144	65.6876	68.3684	56.6332	64.6227	21.9939	66.9006	64.6384	70.1067	63.9073	39.483	76.4485	59.3138	63.8077	59.0428	70.6461
FKBP1A	73.4271	53.3652	18.2636	24.1788	56.8412	55.4759	39.1674	88.7403	38.9271	41.9271	37.2532	57.8102	75.2588	61.2427	48.4287	60.6154	44.5965	55.6421	65.0567	43.2083	52.8651	30.5107	70.7149	65.9986	74.7842	34.7669	60.0315	63.5345	45.4247	24.8396	56.989	53.72	27.4791	47.6509	47.382	43.569	41.8787	31.4982	23.8522	44.2412	48.5802	37.9358	40.7928	17.8158	36.2459	48.6842	37.2742	61.6199
HIST1H2AC	52.0985	32.363	47.9112	44.3518	41.0253	48.0968	46.9254	34.395	37.0737	66.5075	80.2299	37.9004	53.8095	42.5596	36.8575	31.843	37.128	46.4281	48.7447	46.4947	33.3988	69.1817	28.5587	61.9683	56.0644	68.4103	80.409	16.1065	55.1469	25.9588	42.2868	33.5876	64.1683	23.2147	23.8852	19.5033	27.87	38.7906	56.7711	57.039	35.4627	25.4579	64.0312	45.3336	27.4927	36.4883	19.1933	27.7235
EPS8	32.4022	30.0121	30.2976	42.9542	61.9207	26.6519	26.7698	20.2759	30.6075	26.4747	74.7748	31.6537	14.76	20.1735	25.7468	49.9081	18.6914	25.4788	21.6211	27.4297	37.0294	37.1962	58.7533	20.6702	23.6859	40.5662	25.0745	24.2228	17.6071	39.376	34.5421	24.772	28.8343	30.8223	31.9387	18.843	4.28141	28.1908	26.8788	25.5591	34.5828	2.95078	87.5305	18.4227	13.2378	15.7205	15.8355	15.6045
KPNA2	21.0687	44.1845	44.9656	47.0773	60.4562	30.0679	32.2467	65.4306	46.5324	44.5915	59.1007	69.7496	55.7798	31.2232	34.485	45.3596	39.8215	40.2843	50.692	53.1532	38.9227	53.9849	61.2263	44.0146	60.173	47.0203	54.8259	99.7044	48.9604	39.3921	53.9397	75.5997	52.7449	36.3304	39.093	32.8046	58.2631	52.7892	44.2124	46.7308	35.9204	14.2091	53.9445	53.4593	16.6067	19.2727	20.4263	53.6487
MCL1	63.8553	52.6085	57.7948	67.9547	52.1123	30.2455	34.2056	58.3954	52.4483	28.6377	75.0469	40.7837	65.7863	69.2425	68.441	39.9333	90.3739	52.5657	30.2793	58.2936	59.2948	52.1159	34.3775	59.8291	49.6047	72.5061	32.2609	26.4012	34.1229	50.18	25.6479	42.5722	47.2108	41.0651	34.9336	43.3368	28.8159	28.0902	46.7254	33.7771	73.3285	21.0718	54.1438	36.631	37.3321	51.3929	41.1383	31.1767
GNB1	62.3223	68.947	45.0498	40.316	64.76	27.088	27.6239	62.3069	47.3251	29.927	45.4885	43.6113	57.556	45.583	33.9591	40.8664	52.1177	33.9521	58.1234	44.3773	43.7281	51.8361	68.5012	42.8883	26.7612	60.6482	39.5447	43.8318	51.6028	37.1286	40.4132	72.2675	82.6733	46.666	42.0541	61.0865	45.5178	104.62	41.4516	31.6935	42.4486	82.2072	46.721	49.348	38.5237	47.4911	31.3796	176.939
ZDHHC20	28.5783	38.8529	33.6777	36.5944	40.0732	17.9444	18.4329	64.9682	40.9389	23.6474	31.158	23.5707	29.4799	31.8954	14.8376	22.3819	38.8045	31.7947	34.4365	30.6789	39.115	24.0746	34.9147	43.8767	30.0838	39.0682	90.4409	38.403	25.0111	19.967	44.2982	68.4885	46.8021	24.5431	36.3472	8.56711	6.91792	10.0696	41.0162	18.8681	43.5943	10.0494	39.3002	30.0601	13.8173	14.3899	17.0491	12.7114
EMC10	41.0651	29.111	23.7781	22.6973	45.7357	34.8229	19.1561	78.5364	20.5581	15.6123	15.1584	16.7854	44.9244	43.7308	17.9387	29.0963	26.5675	51.7875	40.6714	29.5569	29.8567	33.9849	28.0683	36.2735	34.5878	14.723	29.94	47.0411	22.2438	18.9001	18.1068	48.9948	24.4718	36.3205	47.0224	36.4227	20.9256	32.0383	27.6812	18.6051	16.7449	84.2944	16.9066	52.9757	44.4092	62.1857	45.8781	165.575
SEC11C	18.2438	39.2053	23.0214	19.4789	7.57401	16.5022	49.9671	14.1454	20.8054	36.8131	16.9375	16.6032	12.0567	13.3023	6.90905	25.1642	11.6402	16.2549	17.6624	16.0751	17.5565	14.4204	39.321	10.7835	18.7138	16.6875	25.3762	21.9738	13.116	19.3972	37.5753	9.40311	27.1173	7.68288	5.38655	38.9476	7.25347	41.9777	37.8586	32.1578	18.3918	101.408	22.9699	31.0006	20.9269	22.8172	21.1943	94.4703
ARPC5	68.9379	61.8754	38.3714	47.7919	58.1415	39.5442	41.6271	66.9195	51.4102	42.3748	52.7537	40.768	19.9181	37.4241	29.4026	35.55	65.3822	43.0779	25.1454	55.3165	43.3295	48.7889	54.5729	28.2658	59.569	61.0049	33.8901	35.3741	48.7423	43.4593	39.3989	38.3842	40.4059	35.2199	48.7867	30.2359	13.3019	24.5367	34.1311	44.0317	73.8737	16.3133	73.0132	14.9063	19.4142	25.842	17.635	26.0919
NRCAM	0	0.774238	0.756613	0.531046	5.63404	1.63194	1.20722	0.828949	0.166058	0.561974	2.38528	0.588411	0.257309	1.18197	0.208406	0.843105	0.778727	0.63508	0.503174	0.180495	0.294408	0.745761	0.583463	0.2169	0.945167	0.425924	0.197843	0.458056	0.121128	0.226767	0.202262	0.518295	0.196968	0.134953	0.617535	1.31689	4.06125	0.0586155	0.481612	1.4492	0.154244	107.24	0.743576	0.488114	9.66652	17.5579	8.54633	0.103186
SRPK1	31.8774	35.6009	31.7126	36.1621	21.9449	11.4581	27.9103	16.6594	34.7475	28.6742	34.6819	20.6248	16.8856	24.4513	17.6395	31.8731	29.4772	27.8477	59.9742	34.2435	37.0733	31.0462	21.0425	53.8228	29.6254	36.9602	116.607	36.5347	33.2721	25.3883	35.73	34.651	37.0828	27.1802	23.9655	24.5339	30.2047	33.0311	34.0834	34.0709	32.1118	9.22075	30.2235	30.9569	20.7062	19.6177	15.9999	23.1917
YWHAQ	73.2001	62.207	64.8412	71.4858	70.3517	59.479	49.349	87.0317	72.2297	61.9321	68.265	69.2615	82.9542	52.733	53.4189	95.3635	66.2723	63.0922	78.1528	35.0289	69.7463	104.9	72.0225	59.6427	61.0068	53.8709	64.3335	91.4675	75.2783	61.9587	82.6577	94.0174	76.3195	64.2811	53.7239	79.2868	59.408	66.1431	70.8247	73.9013	54.2617	102.176	69.5476	75.6629	33.9925	46.2852	36.6693	31.1068
HSPA9	26.8517	54.3549	60.74	52.8493	47.7636	57.9119	44.9644	34.0265	64.7428	49.8893	76.5993	32.7673	72.8586	69.4138	32.6078	76.264	47.8069	59.1129	77.5491	48.7255	57.9113	71.1004	89.1649	66.6174	67.2201	38.3338	60.6096	63.5422	61.5618	62.5981	76.5779	92.665	83.0059	48.4247	45.9599	45.2224	41.602	44.4354	67.2474	56.9432	67.9323	42.9817	46.7706	68.4731	36.8261	41.3645	38.3844	53.1713
HNRNPUL1	51.1634	38.2712	48.768	51.3683	46.6844	60.6405	58.7226	57.0546	44.4645	64.7561	59.4317	48.7041	36.0437	59.4959	26.4731	22.6662	82.6193	36.7437	35.7107	55.444	45.16	55.724	45.021	34.5715	38.06	90.9227	43.0531	50.5583	48.327	35.8863	50.417	42.7083	62.3605	28.3786	30.9611	32.678	37.7423	69.586	53.0279	56.1479	36.6713	27.1758	55.5485	47.4336	14.9272	15.462	20.9849	71.0902
PDCD5	33.9239	33.5772	34.2442	33.9401	21.0174	26.4335	20.715	27.7584	40.5597	28.1042	61.889	22.6819	22.6497	26.0272	6.53293	12.8704	30.6948	23.561	16.6801	51.3062	31.4154	52.1505	44.0538	25.4459	27.2716	69.913	27.7267	29.8276	44.1428	28.7583	47.7083	24.9611	45.4652	12.1731	15.3674	37.9261	12.3123	17.7275	47.1614	33.8363	36.9107	7.76296	70.2635	21.3278	4.74527	7.85251	9.51237	6.26719
CAPG	33.5322	24.7709	11.0282	13.4922	32.7321	57.2213	1.47042	72.9972	8.48658	1.91122	13.5871	13.4139	36.2013	4.90376	20.1171	8.17048	29.6376	7.66268	8.9433	16.7206	3.14226	36.0486	52.8833	22.6764	19.2911	23.9404	13.9817	15.606	23.5939	11.0004	7.31247	12.6683	4.86045	5.04904	42.7112	11.6454	1.5537	5.15527	8.65312	2.37016	28.3172	8.01363	29.3046	6.996	9.53632	20.0023	4.7038	3.71953
CCND2	0	0.0202562	3.45361	1.60431	0.0392713	0.0257277	0.0718291	0.00973364	0.449457	0.016333	0.00453026	0.0327228	0.429154	8.83697	0.0203618	0.349885	0	0.0476464	0.182555	0.0180772	0.579017	1.06424	0	0.100153	0	0.0436918	0.213002	0.722556	0.0319906	0.830957	0.0226791	23.722	18.5791	0.159497	0.0552215	3.96222	12.3785	95.8257	3.87719	0.262347	0.0381511	42.933	0.291347	0.757835	8.5964	16.7444	3.59513	0
PARK7	71.6446	68.9746	70.6297	71.9434	70.4689	31.7112	33.6999	48.5823	71.5151	40.5226	67.8209	54.5822	64.0296	88.954	44.9111	72.1918	59.9603	66.5454	80.6363	57.8804	70.6298	98.7627	77.9092	56.3645	41.6418	52.4649	57.6997	79.7682	74.2941	60.1533	60.3937	84.6234	39.5959	57.85	49.9681	58.2951	49.0835	64.9204	71.1474	40.0583	63.9088	68.2748	65.323	75.8499	31.7937	36.7545	42.3406	74.2672
SSB	50.8723	51.3765	48.246	59.8081	34.1052	41.1974	47.4035	50.4961	47.3116	48.496	63.3235	52.0443	44.0671	27.7451	25.3571	38.7932	77.2756	49.2932	37.5616	46.937	75.0568	46.4892	54.8996	38.922	29.7607	54.4204	49.2632	45.4797	65.6954	54.0111	68.9109	44.6752	69.4483	48.5472	26.7306	22.191	34.1836	20.9012	53.1166	59.1751	53.1355	17.6705	64.6867	32.5852	14.8845	17.442	20.9542	21.4333
SUMF2	40.2641	32.882	26.7158	21.0647	33.4336	38.156	28.9587	93.953	30.1806	40.9875	21.6404	28.2856	46.4049	53.4354	37.0702	43.6453	18.944	74.9981	59.1538	31.2425	49.2999	24.625	40.0095	50.8026	68.9299	28.2919	49.0194	36.5208	28.2065	42.2134	24.8049	36.0211	33.8279	64.4107	28.0834	28.8854	25.3576	19.2162	25.7295	34.6206	36.194	48.9406	22.209	33.1865	36.5022	46.1665	62.2119	73.0727
DNM2	36.5399	62.5441	44.8437	45.3894	63.2511	23.654	70.5174	24.5804	57.1005	53.4432	40.6951	52.7475	56.7972	35.9356	54.7668	50.5139	46.551	40.222	53.8897	36.2763	56.9654	53.8895	29.0238	83.7214	78.7459	32.6847	71.9047	57.9691	42.946	36.9328	40.1611	62.204	49.7775	82.3729	34.6579	59.2591	42.5702	54.819	43.5469	44.2264	91.0625	20.9309	45.498	50.4096	60.9148	53.2013	37.5223	131.732
BLVRB	32.0592	17.6174	13.5992	10.9565	14.55	17.2449	10.554	26.1713	21.0452	7.27521	26.4253	17.7556	23.9544	6.85076	14.8856	10.795	23.2365	14.5892	16.1905	16.9844	9.99596	21.865	53.5391	18.6893	23.5902	45.4778	10.6952	18.3274	17.7993	10.3155	13.5444	18.9421	16.9244	10.3419	9.97331	95.1992	5.1336	1.6747	16.1091	6.64933	12.9851	4.30916	42.0004	11.3123	3.85924	3.90722	4.95587	6.31818
HSD17B12	48.3639	80.0839	52.873	47.1779	40.6643	34.4227	44.9411	54.3122	54.5339	21.9943	42.562	44.9934	54.8399	25.0259	47.7602	60.2596	41.6282	41.0115	48.7522	46.763	48.421	80.6823	65.469	36.833	82.2603	37.7469	42.4675	66.4768	51.2757	29.0479	43.255	76.3034	47.4337	57.7644	42.7426	23.2955	19.3246	42.063	61.2445	39.7403	45.7299	56.3907	64.1075	74.5209	59.9128	81.3308	50.6494	29.6593
GPRC5B	15.4549	23.3043	9.63739	5.77116	6.46079	9.27849	37.9458	37.3313	23.8342	50.4203	5.60091	36.5182	14.6491	17.1927	23.2516	13.8396	2.91755	7.77715	15.7845	24.5177	5.41584	2.93966	32.2885	18.2026	4.36747	7.11347	36.7992	7.96215	15.4762	32.1564	2.86073	3.81428	30.9753	3.58314	1.17707	1.98459	1.80458	0.202223	8.80163	60.9936	56.3122	0.239515	3.36097	2.59081	5.60302	14.0948	30.7703	0.300489
PEBP1	50.9311	44.7637	58.4351	56.3768	42.2225	45.7307	46.0338	35.2934	55.1815	57.8798	58.1732	45.5146	38.3101	87.9238	30.9767	84.8303	42.8648	48.1628	59.8905	43.8079	57.9403	64.9232	29.4101	38.2895	36.3393	40.4219	65.3761	23.1907	58.5375	60.6927	76.2909	68.3683	80.896	47.8219	40.2954	35.1956	30.0182	73.4158	69.3357	46.4521	51.1776	72.3377	54.157	63.3191	32.4464	37.0735	37.6988	41.7446
AKR1B1	5.96134	7.69409	13.2965	11.9883	29.0602	7.58634	6.31825	23.7324	10.7315	13.4969	7.45048	4.8395	24.0411	10.4227	4.97172	35.2333	8.59458	8.03895	27.7321	8.60238	5.42501	17.3932	56.9381	23.5797	20.3833	3.84407	19.5507	31.0928	14.8323	12.6814	38.2094	11.8966	18.2781	3.44351	0.12682	8.48543	34.4867	89.1528	15.5091	12.9531	4.78703	21.5296	8.73425	22.06	7.71306	8.46425	11.4599	40.6227
