TF	CAS-ACC-1	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16	CAS-DAC-65	CAS-NEN-3	CAS-NEN-1	CAS-NEN-2
ESRRA (37g)	0.758095942	0.695267531	0.718941951	0.661486997	0.721902646	0.659464289	0.719679338	0.696504559	0.597228388	0.667993469	0.656696763	0.588164276	0.579142884	0.666488975	0.618144569	0.674390355	0.668641702	0.665825884	0.68743116	0.738021163	0.727718166	0.696599286	0.756764186	0.708973285	0.687561178	0.659741041	0.655236846	0.646796821	0.679370044	0.76133339	0.722981796	0.688103539	0.746726797	0.72452901	0.732995039	0.69946154	0.749574191	0.682503478	0.764988753	0.710717384	0.722513731	0.628555296	0.544515376	0.702985027	0.627004367
RUNX2 (23g)	0.266857607	0.475991088	0.450022996	0.383590077	0.348498062	0.342498074	0.425088253	0.497231464	0.501093079	0.50063315	0.43128834	0.552763459	0.497846694	0.504025876	0.46467802	0.483355932	0.508980569	0.484810384	0.490272792	0.509975092	0.471648638	0.472532658	0.436087733	0.457062306	0.425031508	0.467192698	0.44433361	0.520702796	0.336321879	0.406852351	0.547100952	0.484795451	0.480936822	0.490795439	0.456521739	0.459281316	0.413219685	0.523985019	0.433770167	0.447803986	0.440277869	0.476241959	0.286500176	0.475029418	0.2290538
TLX1 (298g)	0.511994134	0.38324612	0.335807828	0.358477363	0.374569062	0.36272188	0.371104335	0.345875058	0.291595275	0.345917177	0.324574751	0.303405224	0.292088374	0.324858185	0.333114049	0.358764054	0.347890738	0.346141737	0.341525825	0.401445649	0.383535138	0.362985534	0.386670821	0.388649036	0.36714395	0.360853502	0.296847166	0.37715603	0.391522229	0.348253523	0.378863377	0.300945545	0.360177963	0.393635412	0.367535358	0.307950627	0.372879865	0.315264506	0.377875084	0.342992557	0.363249885	0.313212059	0.30130228	0.30902153	0.294441009
ELK3 (31g)	0.187754614	0.4163161	0.347497861	0.280842868	0.341012558	0.391465377	0.39397217	0.531785963	0.520178468	0.573344209	0.552857656	0.494682761	0.438511528	0.51706437	0.532976191	0.596780843	0.564841946	0.573344209	0.546288128	0.364965623	0.444323033	0.497282645	0.343778675	0.378142357	0.303448337	0.313384637	0.321467992	0.321607628	0.389530425	0.349113646	0.584776605	0.376457863	0.456939008	0.419492258	0.56887365	0.364059099	0.477164021	0.399881199	0.433925714	0.623012408	0.491291608	0.502850342	0.204484301	0.273537482	0.200330693
YY1 (348g)	0.632772374	0.732778882	0.730330998	0.699334722	0.742285165	0.746395246	0.733266342	0.73534374	0.660617323	0.728498729	0.709691566	0.65360184	0.646850648	0.733297882	0.732596633	0.730604871	0.729258864	0.727086649	0.728130239	0.708443371	0.709189534	0.727192046	0.709510515	0.728636862	0.727305428	0.708403847	0.708203633	0.719886922	0.710635947	0.683307004	0.710734357	0.680072037	0.709038026	0.690796972	0.709692165	0.686893294	0.721428951	0.649338255	0.728966028	0.727759753	0.721916411	0.700435601	0.632846631	0.681205453	0.674321517
MYC (934g)	0.611583212	0.584782491	0.590767276	0.564154532	0.610069744	0.565977527	0.596263514	0.560706619	0.532414219	0.570903378	0.573990215	0.513496438	0.521102953	0.568776095	0.548292613	0.585289713	0.544833539	0.566809991	0.576323696	0.600336858	0.596590806	0.59507954	0.620416824	0.625580609	0.608975507	0.590809411	0.566306793	0.602833036	0.531229333	0.576411308	0.561955354	0.533364208	0.566906182	0.583192647	0.585839147	0.555699306	0.589874151	0.532099682	0.60628057	0.557212243	0.579865523	0.532964792	0.52031809	0.532190254	0.567607684
SP2 (388g)	0.667799811	0.68924344	0.691555507	0.698360469	0.642598178	0.669964864	0.691369946	0.674426923	0.707209288	0.669281068	0.695533315	0.706347641	0.70452108	0.66970472	0.666400667	0.709501812	0.668611078	0.691724214	0.692955189	0.694579337	0.676900705	0.707808818	0.691281738	0.719757663	0.709515617	0.693829744	0.695229247	0.726827969	0.635648352	0.655384107	0.62118682	0.632071964	0.651038763	0.67763219	0.681655717	0.665080228	0.656952497	0.689742571	0.644907914	0.642804535	0.661967293	0.667867581	0.633253276	0.625266463	0.656670839
RORC (11g)	0.602787696	0.625508726	0.526797084	0.608168335	0.563181943	0.506841277	0.569186787	0.53109785	0.527596065	0.527415046	0.525155427	0.55091009	0.564742453	0.553338244	0.505917455	0.552333275	0.367038276	0.538220019	0.54889391	0.530230206	0.523557464	0.583137749	0.554880028	0.594935208	0.611994707	0.58292552	0.551190981	0.499500637	0.512896058	0.584298769	0.514038351	0.51085491	0.510405483	0.53889416	0.529612244	0.51782727	0.571714814	0.495393373	0.561034681	0.369285411	0.509519113	0.536466006	0.564093281	0.406076003	0.3425882
SREBF2 (555g)	0.620364949	0.652886388	0.615399783	0.640776671	0.648658734	0.643292915	0.662300714	0.660212227	0.633011727	0.584157079	0.607227505	0.636919035	0.632949574	0.624080504	0.577847747	0.629149427	0.595155231	0.615043633	0.62239746	0.685915512	0.659250182	0.641217414	0.674361011	0.650237139	0.655784374	0.619892184	0.62701026	0.658510273	0.665578047	0.699157722	0.61061225	0.642103438	0.600892076	0.652624791	0.654716807	0.650079929	0.65085665	0.620991394	0.68068232	0.644491091	0.6803268	0.602198042	0.635426737	0.590900977	0.58869184
PPARA (422g)	0.606547602	0.587414988	0.62856983	0.603954888	0.653143348	0.564606694	0.624012693	0.585549752	0.561362418	0.537448548	0.561351855	0.56681966	0.556968666	0.571990401	0.526895326	0.578385378	0.536282404	0.533772538	0.572029844	0.617985581	0.606853579	0.594981225	0.630107965	0.614933242	0.613642826	0.592031043	0.605462326	0.609329778	0.577810393	0.644152522	0.549257858	0.599440495	0.56084569	0.589285505	0.574413293	0.611354933	0.610536025	0.561822208	0.614499858	0.547043406	0.603630757	0.556791913	0.559192195	0.559958952	0.512535881
